;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;LV;LT;FRE
01-01-2016;159,33;159,17;159,17;159,46;159,46;162,36;159,46;159,46;159,46;159,46;159,46;159,17;159,17;159,17;162,36;270,19;270,19;
02-01-2016;151,48;150,7;150,7;150,7;150,7;226,24;138,29;150,7;150,7;148,6;150,7;150,83;150,83;150,83;226,24;306,37;306,37;
03-01-2016;162,14;163,67;163,67;163,67;163,67;187,13;113,6;163,67;163,67;154,9;163,67;164,32;164,32;164,32;187,13;350,16;350,16;187,13
04-01-2016;185,37;180,4;180,4;183,98;183,98;279,84;163,3;183,98;183,98;179,2;180,49;180,4;180,4;180,4;279,84;432,65;432,65;279,84
05-01-2016;220,47;204,08;204,08;204,08;204,08;317,02;190,43;204,08;204,08;190,43;190,43;204,08;204,08;196,88;317,02;446,5;446,5;317,02
06-01-2016;289,51;276,07;276,07;276,07;276,07;350,93;247,79;276,07;276,07;247,79;247,79;276,07;276,07;276,07;350,93;414,54;414,54;350,93
07-01-2016;375,3;481,75;481,75;481,75;481,75;558,12;231,15;481,75;464,16;231,15;231,15;481,75;481,75;481,75;558,12;568,97;568,97;558,12
08-01-2016;318,07;296,01;296,01;296,01;296,01;515,89;248,75;296,01;287,84;261,14;262,05;296,01;296,01;296,01;515,89;562,68;562,68;515,89
09-01-2016;257,77;239,86;239,86;239,86;239,86;329,38;236,27;239,86;236,27;236,27;236,27;239,86;239,86;238,28;329,38;807,82;807,82;329,38
10-01-2016;214,07;208,3;208,3;208,3;208,3;283,63;205,18;208,38;208,3;207,99;207,99;208,3;208,3;208,13;283,63;445,12;445,12;283,63
11-01-2016;323,29;239,1;239,1;314,58;316,9;408,02;314,58;316,9;314,58;314,58;314,58;239,1;239,1;238,6;408,02;846,7;846,7;
12-01-2016;303,51;236,31;236,31;296,34;296,45;331,95;286,16;296,75;286,16;286,16;286,16;236,31;236,31;236,31;331,95;642,67;642,67;
13-01-2016;324,68;296,7;296,7;333,22;333,22;355,99;282,62;333,22;290,21;281,46;281,46;296,7;296,7;296,7;355,99;726,04;769,92;
14-01-2016;413,06;250,08;250,08;536,15;536,15;544,6;289,47;536,15;536,15;289,47;289,47;249,16;249,16;249,16;522,62;541,71;541,71;
15-01-2016;404,22;249,25;249,25;561,65;561,65;583,97;326,29;561,65;561,62;328,73;328,73;249,25;249,25;249,25;583,97;613,98;627,11;
16-01-2016;258,61;238,67;238,67;268,55;268,55;286,39;266,85;268,55;268,55;266,85;266,85;238,67;238,67;221,19;286,39;372,79;372,79;286,39
17-01-2016;246,34;234,85;234,85;255,9;256,1;267,2;255,49;256,1;255,9;255,9;255,9;234,85;234,85;230,98;267,2;354,09;354,09;267,2
18-01-2016;476,85;418,23;418,23;418,23;418,23;548,58;366,01;418,23;418,23;367,14;367,14;415,43;415,43;414,04;548,58;564,49;564,49;
19-01-2016;534,19;551,49;551,49;551,49;551,49;571,22;422,9;551,49;456,45;441;441;551,49;551,49;551,49;540,24;548,16;548,16;
20-01-2016;483,44;488,68;488,68;488,68;488,68;508,59;466,86;488,68;488,16;466,85;466,85;488,68;488,68;411,97;500,83;501,2;501,2;
21-01-2016;784,83;853,8;853,8;853,8;853,8;890,77;502,62;853,8;837,25;502,62;502,62;853,8;853,8;853,8;885,04;887,82;887,82;
22-01-2016;363,91;406,21;406,21;406,21;406,21;519,09;269,76;406,21;374,76;269,76;269,76;406,21;406,21;406,21;519,09;537,06;537,06;
23-01-2016;232,55;225,68;225,68;225,68;225,75;288,59;225,68;225,75;225,68;225,68;225,68;225,68;225,68;224,72;288,59;351,19;351,19;288,59
24-01-2016;213,82;211,11;211,11;211,11;211,11;234,57;211,11;211,11;211,11;211,11;211,11;211,11;211,11;206,57;234,57;330,98;330,98;234,57
25-01-2016;250,45;222,15;222,15;229,28;229,66;317,01;229,28;229,66;229,28;229,28;229,28;222,15;222,15;222,15;317,01;434,15;466,45;
26-01-2016;175,22;172,37;172,37;172,37;172,37;267,98;172,37;172,37;172,37;172,37;172,37;172,37;172,37;167,97;267,98;396;396;
27-01-2016;161,87;157,94;157,94;157,97;157,97;273,56;138,62;141,09;158,17;158,17;158,17;157,94;157,94;156,29;273,56;366,54;366,54;
28-01-2016;162,64;159,1;159,1;159,1;159,1;271,99;156,36;156,81;159,1;159,1;159,1;159,1;159,1;159,1;277,99;366,67;366,67;
29-01-2016;158,05;152,39;152,39;152,39;152,39;266,94;152,39;152,39;153,64;153,64;153,64;156;156;154;266,94;355,66;355,66;
30-01-2016;140,96;129,59;129,59;129,59;129,59;129,59;108,07;129,78;145,16;145,16;145,16;146,22;146,22;145,33;131,6;283,13;283,13;
31-01-2016;156,03;155,09;155,09;155,09;155,09;202,16;105,9;130,15;155,37;155,37;155,37;155,09;155,09;155,09;202,16;286,73;286,73;
01-02-2016;181,21;166,41;166,41;175,53;175,53;282,21;171,35;176,54;175,54;175,54;175,54;166,41;166,41;166,41;282,21;362,92;362,92;
02-02-2016;161,77;158,77;158,77;158,77;158,77;280,07;125,05;135,95;159,03;159,03;159,03;159,1;159,1;159,1;280,07;287,47;287,47;
03-02-2016;175;168,96;168,96;168,96;168,96;289,17;157,28;157,32;168,96;168,96;168,96;168,96;168,96;168,96;289,17;296,38;296,38;
04-02-2016;177,54;171,95;171,95;173,1;173,1;277,42;172,93;173,48;173,1;173,1;173,1;171,95;171,95;171,95;277,42;299,7;299,7;
05-02-2016;218,55;195,2;195,2;197,33;197,33;321,13;197,33;197,33;197,33;197,33;197,33;195,2;195,2;192,48;321,13;331,96;331,96;
06-02-2016;155,25;153,02;153,02;153,02;153,02;257,6;146,77;153,02;153,02;153,02;153,02;153,11;153,11;153,11;282,34;283,65;283,65;
07-02-2016;142,69;140,26;140,26;140,26;140,26;143,9;90,81;139,68;141,35;141,35;141,35;149,46;149,46;149,46;220,12;241,28;241,28;
08-02-2016;147,69;137,43;137,43;137,43;137,43;273,47;125,16;137,43;142,16;142,16;142,16;161,54;161,54;152,87;276,03;299,95;299,95;
09-02-2016;164,33;162,38;162,38;162,38;162,38;260,18;128,03;128,03;162,38;162,38;162,38;164,22;164,22;164,22;260,95;287,11;287,11;
10-02-2016;192,76;189,31;189,31;189,31;192,13;269,29;189,31;192,13;179,68;179,68;179,68;189,31;189,31;188,52;278,63;286,26;286,26;
11-02-2016;197,42;185,52;185,52;197,36;197,36;299,58;198,65;198,65;186,5;186,5;186,5;185,52;185,52;185,32;323,57;332,16;332,16;
12-02-2016;211,58;183,91;183,91;224,51;238,22;311,75;232,88;239,29;211,78;211,78;201,33;183,91;183,91;183,76;336,19;360,17;360,17;
13-02-2016;182,09;180,18;180,18;180,18;180,18;220,84;180,18;180,18;180,18;180,18;180,18;180,18;180,18;180,18;307,19;309,42;309,42;220,84
14-02-2016;168,87;169,03;169,03;169,03;169,96;177,53;166,46;168,11;168,1;168,1;168,1;169,03;169,03;169,03;270,95;287,23;287,23;177,53
15-02-2016;220,79;200,77;200,77;207,36;207,36;277,65;204,18;207,36;202;202;202;200,77;200,77;200,77;290,71;317,83;317,83;
16-02-2016;258,82;247,9;247,9;252,24;261,9;269,35;252,24;270,51;240,24;240,24;240,24;247,9;247,9;245,97;273,19;313,95;313,95;
17-02-2016;180,24;178,55;178,55;178,55;182,32;255,55;177,58;182,32;178,55;178,55;178,55;178,55;178,55;174,55;268,48;315,38;315,38;
18-02-2016;232,06;222,06;222,06;222,06;254,5;256,7;222,06;254,5;222,06;222,06;222,06;222,06;222,06;177,71;263,32;269,49;269,49;
19-02-2016;202,96;196,9;196,9;196,9;229,48;258,92;196,9;229,48;196,9;196,9;196,9;197,03;197,03;172,85;267,69;267,7;267,7;
20-02-2016;159,87;155,93;155,93;155,93;155,93;197,34;125,39;130,81;156,12;156,12;156,12;171,26;171,26;167,12;200,41;200,41;200,41;
21-02-2016;154,47;153,25;153,25;153,25;153,25;153,37;89,08;118,31;153,25;153,25;153,25;173,08;173,08;164,97;174,63;174,63;174,63;
22-02-2016;177,19;177,67;177,67;177,67;177,67;189,88;141,83;145,72;177,67;177,4;177,67;181,01;181,01;177,64;242,92;242,92;242,92;189,88
23-02-2016;188,02;188,28;188,28;188,28;188,28;197,42;186,95;188,28;188,28;188,28;188,28;188,28;188,28;184,63;233,89;233,89;233,89;197,42
24-02-2016;193,05;189,31;189,31;189,31;189,31;266,71;189,31;189,31;189,31;189,31;189,31;189,31;189,31;187,02;266,71;267,48;267,48;
25-02-2016;247,65;247,1;247,1;247,1;248,33;282,34;245,01;248,33;226,65;226,18;226,18;247,1;247,1;208,7;282,94;283,05;283,05;
26-02-2016;227,53;216,43;216,43;216,43;224,21;269,99;210,01;224,21;210,16;210,16;210,16;216,43;216,43;216,43;273,88;273,96;273,96;
27-02-2016;186,96;185,85;185,85;185,85;187,77;209,03;185,85;187,77;185,85;185,85;185,85;185,85;185,85;185,85;251,58;251,58;251,58;209,03
28-02-2016;181,1;180,21;180,21;180,21;182,25;189,58;180,21;182,25;179,96;179,96;179,96;180,21;180,21;180,21;248,67;248,67;248,67;189,58
29-02-2016;237;211,37;211,37;211,37;221,3;288,04;211,15;221,3;210,78;210,78;210,78;211,37;211,37;206,16;289,14;289,14;289,14;
01-03-2016;195,19;189,6;189,6;189,6;196,97;268,9;189,6;196,97;189,6;189,6;186,65;189,6;189,6;189,6;268,9;270,9;270,9;
02-03-2016;225,35;204,87;204,87;205,53;219,86;277,88;201,68;219,86;205,53;205,53;205,53;204,87;204,87;204,87;280,04;281,51;281,51;
03-03-2016;240,63;210,99;210,99;210,99;250,1;287,89;210,19;250,1;210,99;210,99;210,99;210,99;210,99;210,43;289,95;289,95;289,95;
04-03-2016;224,18;209,19;209,19;209,19;213,66;290,32;209,19;213,66;209,19;209,19;209,19;209,19;209,19;209,16;290,32;290,32;290,32;
05-03-2016;188,83;188,73;188,73;188,73;188,73;196,57;182,19;188,73;188,73;188,73;188,73;188,73;188,73;188,73;249,26;249,26;249,26;196,57
06-03-2016;184,86;184,86;184,86;184,86;185,03;184,86;184,86;185,03;184,86;184,86;184,86;184,86;184,86;184,86;234,54;235,5;235,5;184,86
07-03-2016;219,05;219,4;219,4;219,4;223,29;219,4;219,4;223,29;216,38;216,38;216,38;219,4;219,4;219,4;265,68;265,68;265,68;
