;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;ELE;LV;LT
02-12-2013;348,9;345,14;345,14;371,27;413,39;414,5;389,57;418,33;303,14;303,14;302,47;332,11;332,11;332,11;402,39;;402,39;402,39
03-12-2013;302,35;303,11;303,11;303,11;308,85;315,43;306;308,85;299,56;299,56;298,29;303,11;303,11;303,11;317,45;;317,45;317,45
04-12-2013;293,55;292,76;292,76;292,76;293,33;310,3;290,44;292,16;293,23;292,89;293,23;292,76;292,76;292,76;336,07;;336,07;336,07
05-12-2013;287,17;287,53;287,53;287,53;287,53;312,68;260,05;275,19;288,61;284,79;288,61;287,53;287,53;287,53;323,81;;323,81;323,81
06-12-2013;287,36;289,85;289,85;289,85;289,85;294,25;224,16;246,18;290,21;284,92;290,21;289,85;289,85;289,85;317,56;;317,56;317,56
07-12-2013;299,44;304,88;304,88;304,88;304,88;320,49;252,35;274,06;293,4;293,4;293,4;304,67;304,67;304,67;320,49;;320,49;320,49
08-12-2013;300,23;316,25;316,25;316,25;316,25;342,99;257,99;272,17;294,28;292,85;294,28;316,25;316,25;316,25;343,24;;343,24;343,24
09-12-2013;363,36;362,55;362,55;394,34;397,52;496,38;366,4;385,5;355,76;312,42;312,01;362,04;362,04;362,04;496,38;;496,69;496,69
10-12-2013;324,8;323,78;323,78;324,16;349,25;413,64;328,61;363,53;308,48;308,48;308,48;322,1;322,1;322,1;413,64;;416,71;416,71
11-12-2013;306,23;301,16;301,16;303,46;356,9;318,71;401,13;468,38;301,19;301,19;301,19;301,16;301,16;301,16;356,73;;401,44;401,44
12-12-2013;287,33;286,17;286,17;286,17;290,4;311,65;286,17;290,4;286,17;285,82;284,28;286,17;286,17;286,17;328,07;;328,54;328,54
13-12-2013;290,55;289,73;289,73;289,73;402,58;312,34;293,01;499,65;282,09;282,02;282,09;289,52;289,52;289,52;350,97;;409,86;409,86
14-12-2013;277,14;275,56;275,56;275,56;276,49;314,93;260,83;276,49;275,01;275,01;275,01;275,56;275,56;275,56;362,91;;386,07;386,07
15-12-2013;261,62;262,38;262,38;262,38;262,38;271,34;199,71;262,38;262,38;262,38;262,38;262,38;262,38;262,38;277,17;;288,09;288,09
16-12-2013;267,58;264,5;264,5;264,5;264,5;352,59;249,31;264,5;264,5;264,5;264,5;264,5;264,5;264,5;352,59;;353,27;353,27
17-12-2013;277,59;281,53;281,53;296,99;339,27;319,75;346,2;349,08;266,36;266,36;266,36;272,49;272,49;272,49;324,8;;337,34;337,34
18-12-2013;283,75;296,84;296,84;297,99;305,2;324,03;297,99;305,2;276,68;276,68;271,22;274,97;274,97;274,86;325,39;;329,79;329,79
19-12-2013;261,45;260,47;260,47;260,47;260,47;300,53;253,4;254,47;259,65;259,65;259,65;260,47;260,47;260,47;300,53;;305,85;305,85
20-12-2013;261,88;260,86;260,86;260,86;260,86;299,93;260,86;260,86;260,86;260,86;260,73;260,86;260,86;260,86;337,3;;337,3;337,3
21-12-2013;243,94;244,39;244,39;244,39;244,39;251,21;194,25;209,45;245,13;245,13;245,13;244,39;244,39;244,39;285,84;;285,84;285,84
22-12-2013;233,37;237,84;237,84;237,84;237,84;242,18;30,67;105,13;240,63;240,63;240,63;237,84;237,84;237,84;262,71;;262,71;262,71
23-12-2013;247,96;246,3;246,3;246,3;246,3;252,26;184,11;197,95;254,15;254,15;254,15;246,3;246,3;246,3;252,36;;252,36;252,36
24-12-2013;230,56;231,76;231,76;231,76;231,76;231,76;-52,94;-30,57;243,89;243,89;243,89;231,76;231,76;231,76;232,85;;232,85;232,85
25-12-2013;238,09;223,88;223,88;223,88;223,88;223,88;175,89;175,89;247,48;247,48;247,48;223,88;223,88;223,88;223,88;;223,9;223,9
26-12-2013;248,12;243,09;243,09;243,09;243,09;243,09;243,09;243,7;251,24;251,24;251,24;243,09;243,09;243,09;243,09;;243,09;243,09
27-12-2013;248,67;249,37;249,37;249,37;249,37;254,59;196,48;211,35;250,84;250,84;250,84;249,37;249,37;249,37;254,59;;254,59;254,59
28-12-2013;235,58;220,86;220,86;220,86;220,86;221,36;165,51;176,34;247,11;247,11;247,11;220,86;220,86;220,86;221,36;;221,36;221,36
29-12-2013;241;233,82;233,82;233,82;233,82;233,82;213,98;214,08;246,66;246,66;246,66;233,82;233,82;233,82;233,84;;233,84;233,84
30-12-2013;249,17;244,05;244,05;244,05;244,05;264,81;230,24;231,12;252,28;252,28;252,28;244,05;244,05;244,05;264,81;;264,81;264,81
31-12-2013;243,72;240,8;240,8;240,8;240,8;254,19;209,98;210,23;247,2;247,2;247,2;240,8;240,8;240,8;254,19;;258,17;258,17
