;NO1;NO2;NO3;NO4;NO5;NO
28-09-2018;90604;95874;75264;51967;46919;360623
29-09-2018;84111;91748;71900;47439;44896;340089
30-09-2018;76938;89490;69751;46653;43310;326151
01-10-2018;92431;97713;71736;50641;45635;358158
02-10-2018;99090;99395;72756;52680;47226;371142
03-10-2018;96425;100714;74432;53560;46529;371653
04-10-2018;100961;100885;75265;54407;45922;377433
05-10-2018;89783;95423;73268;52780;44757;356004
06-10-2018;87409;94350;69988;51249;45195;348191
07-10-2018;88347;94222;69383;51805;45432;349184
08-10-2018;91628;96082;72722;53383;43998;357812
09-10-2018;86668;92336;71515;53272;44064;347857
10-10-2018;82540;92177;68560;53040;43064;339373
11-10-2018;83003;92161;68553;52256;42629;338595
12-10-2018;85499;93033;66552;49958;43126;338158
13-10-2018;75048;86686;64617;47533;41998;315879
14-10-2018;69791;85534;63977;46698;40758;306752
15-10-2018;82672;93791;69528;50666;47181;343837
16-10-2018;88841;98811;71905;51970;49528;361050
17-10-2018;85217;96710;69766;50317;45373;347377
18-10-2018;89564;97146;71273;50909;45601;354489
19-10-2018;97218;100658;73299;52192;46184;369542
20-10-2018;92836;96203;70798;48934;44769;353537
21-10-2018;85487;90263;66407;48742;42433;333327
22-10-2018;95629;99736;73330;52542;45412;366651
23-10-2018;94987;100618;74986;55233;46332;372152
24-10-2018;103207;103905;75598;56983;48415;388106
25-10-2018;104016;101262;74496;57017;47933;384712
26-10-2018;109521;106142;78415;59184;49652;402911
27-10-2018;106737;104080;77918;56859;48967;394554
28-10-2018;113697;110986;82692;59863;51675;418909
29-10-2018;127266;116210;86036;60098;51998;441602
30-10-2018;127429;116896;84475;61275;49945;440012
31-10-2018;113223;110284;78760;59897;46812;408977
01-11-2018;112279;107304;77821;56518;46641;400558
02-11-2018;106452;105274;73885;55252;45697;386554
03-11-2018;101622;102627;74104;52525;46141;377013
04-11-2018;93026;97372;67326;51688;42774;352182
05-11-2018;103872;104525;73108;54065;45985;381549
06-11-2018;103939;102328;76129;55203;45995;383591
07-11-2018;103663;100382;75966;57730;43777;380670
08-11-2018;103174;101545;75127;58595;40091;378527
09-11-2018;101244;100904;76387;57714;44085;380329
10-11-2018;93749;97047;72249;52455;43486;358982
11-11-2018;89003;92290;69320;50654;40763;342019
12-11-2018;95785;100006;72529;53990;41990;364299
13-11-2018;100435;102699;73554;54898;44315;375892
14-11-2018;106709;114971;75429;55227;45114;397442
15-11-2018;99367;100212;73361;54280;43137;370352
16-11-2018;99646;101194;71580;51455;43097;366973
17-11-2018;96372;99375;69727;51231;43315;360010
18-11-2018;101011;100901;72852;54725;44940;374418
19-11-2018;122776;113699;80537;59441;50056;426502
20-11-2018;129140;115250;80191;59566;51749;435896
21-11-2018;127938;116860;81041;60368;51940;438143
22-11-2018;134192;120150;84240;59965;53498;452034
23-11-2018;143042;121541;85361;58948;54317;463206
24-11-2018;132751;116555;80317;56123;53327;439067
25-11-2018;127498;116861;80542;59874;53592;438361
26-11-2018;144645;124707;84617;63048;56991;474000
27-11-2018;149927;126968;87940;63789;57791;486409
28-11-2018;152567;126859;88176;61566;55466;484632
29-11-2018;138343;116949;82178;59809;50806;448074
30-11-2018;121890;108389;77195;56291;48957;412715
01-12-2018;108794;104092;74002;52306;47085;386276
02-12-2018;109083;102127;74966;53191;47250;384996
03-12-2018;115508;106326;80360;56708;49060;401877
04-12-2018;122484;113299;81237;57526;52724;427263
05-12-2018;134640;122179;84698;60442;53463;455418
06-12-2018;141610;123328;86182;60900;54656;466673
07-12-2018;137780;121604;86770;62939;52554;461640
08-12-2018;124952;112537;80605;63073;50292;431458
09-12-2018;123153;113738;79927;60622;50646;428086
10-12-2018;132696;120484;83396;61701;53699;451968
11-12-2018;132480;122201;84917;64047;55961;459598
12-12-2018;145691;128225;88837;63333;58442;484525
13-12-2018;155274;130054;92119;61963;59227;498626
14-12-2018;161352;133242;95192;60843;60206;510827
15-12-2018;151675;123085;91448;59401;55604;481211
16-12-2018;138257;119362;86755;63205;54234;461810
17-12-2018;144419;125931;87972;68013;55983;482316
18-12-2018;151513;127758;88377;66624;56730;490999
19-12-2018;143999;123213;86709;64607;53516;472035
20-12-2018;135424;119752;82572;64258;51010;453019
21-12-2018;138046;119341;82769;62043;50108;452306
22-12-2018;131413;118945;83209;62675;50033;446273
23-12-2018;134088;119298;78437;62139;50639;444589
24-12-2018;143996;120346;76455;60290;52364;453445
25-12-2018;128792;110908;70008;58105;48176;415984
26-12-2018;125384;110548;69025;58690;48764;412410
27-12-2018;128681;108649;73405;60489;49198;420413
28-12-2018;135419;114507;75354;58420;50278;433974
29-12-2018;130506;110389;76688;56222;49489;423291
30-12-2018;128066;111855;77056;59157;50396;426529
31-12-2018;126932;110541;76734;59065;48285;421552
