;NO1;NO2;NO3;NO4;NO5;NO
01-01-2018;120556;109827;78798;59979;51481;420628
02-01-2018;133594;117173;83631;64004;54991;453387
03-01-2018;142519;119715;88724;64896;54502;470349
04-01-2018;136963;119496;88170;66159;55273;466056
05-01-2018;138420;121641;87277;67154;56389;470882
06-01-2018;137737;120676;86339;64321;55380;464448
07-01-2018;143984;120920;85862;62791;55571;469121
08-01-2018;149335;125389;85849;65386;54057;480008
09-01-2018;155507;125557;87565;63360;55484;487467
10-01-2018;160404;126079;86470;62962;53841;489755
11-01-2018;151956;123601;83161;64664;53457;476834
12-01-2018;150517;125274;85185;61651;54089;476711
13-01-2018;139725;118859;85527;59481;53590;457175
14-01-2018;138125;116393;84590;61343;53260;453704
15-01-2018;151003;128612;88138;65807;54622;488175
16-01-2018;143674;124383;85653;63952;55120;472776
17-01-2018;137892;125978;86120;65934;55341;471261
18-01-2018;144486;128399;88561;67600;55974;485022
19-01-2018;144752;128257;89139;67854;56457;486455
20-01-2018;137614;120418;85814;66131;53551;463525
21-01-2018;135319;118715;86451;65967;52965;459408
22-01-2018;153796;126627;92082;69976;56270;498753
23-01-2018;150252;123823;89393;70130;55215;488805
24-01-2018;136381;117672;84055;70084;51815;459999
25-01-2018;130319;117466;83013;66910;51807;449510
26-01-2018;137085;118436;85053;64748;54025;459341
27-01-2018;140582;119812;81741;63458;53020;458604
28-01-2018;129066;110812;82888;63061;50649;436477
29-01-2018;142799;117675;85643;67644;53244;467007
30-01-2018;149578;118112;84418;66753;53810;472668
31-01-2018;142358;116729;83767;66668;53146;462673
01-02-2018;137988;120685;84376;68357;54086;465488
02-02-2018;152536;125998;90862;70177;55924;495489
03-02-2018;150282;125452;89805;67605;55376;488519
04-02-2018;152345;126856;87698;66589;52989;486469
05-02-2018;161869;134590;87616;67234;57720;509026
06-02-2018;157256;135256;88300;64561;57936;503304
07-02-2018;153804;131984;88472;68306;57618;500173
08-02-2018;152564;129584;87571;66625;57223;493560
09-02-2018;145522;126398;84655;63420;55076;475068
10-02-2018;137328;119410;80738;59555;52803;449829
11-02-2018;135429;119103;81521;58195;52294;446541
12-02-2018;145652;125549;87270;64120;55121;477704
13-02-2018;146049;124791;87021;64252;56186;478291
14-02-2018;140386;122168;84838;63398;55250;466032
15-02-2018;142482;126981;84645;63601;55850;473555
16-02-2018;141263;124214;85940;63068;55234;469717
17-02-2018;136503;119263;81590;61522;53107;451978
18-02-2018;130099;114724;81650;61846;51305;439624
19-02-2018;140852;122383;87304;66451;55240;472224
20-02-2018;145736;124583;89156;65368;56288;481128
21-02-2018;145986;125125;87230;68160;55503;482002
22-02-2018;145875;126238;84800;68056;56650;481616
23-02-2018;144709;125996;84457;66588;56192;477937
24-02-2018;136250;120629;82508;64616;53647;457640
25-02-2018;139501;119147;84129;65061;52815;460651
26-02-2018;158191;132495;90119;69417;56615;506836
27-02-2018;158971;138046;92201;67125;58259;514598
28-02-2018;165658;145511;94743;66298;58471;530676
01-03-2018;165125;143958;95715;64379;60579;529751
02-03-2018;165912;138000;93400;63269;60158;520734
03-03-2018;150297;128782;87850;61913;56390;485228
04-03-2018;139365;123586;85101;62688;54216;464953
05-03-2018;152962;132004;89445;66861;56955;498228
06-03-2018;152576;131149;88365;67472;56971;496524
07-03-2018;144347;126666;88768;68084;57319;485176
08-03-2018;144321;125364;85621;67655;54874;477835
09-03-2018;143671;123205;85351;65420;55439;473079
10-03-2018;136333;116888;80746;62501;52788;449242
11-03-2018;134934;121747;80760;61030;51969;450431
12-03-2018;142690;124725;85789;63224;53454;469878
13-03-2018;136945;120027;83820;64024;53657;458471
14-03-2018;138344;120659;83418;64951;54828;462197
15-03-2018;141538;122986;85581;64677;53319;468100
16-03-2018;148911;128514;87599;64161;55780;484959
17-03-2018;143986;123040;85421;61790;54150;468386
18-03-2018;139748;118890;84195;60100;53329;456259
19-03-2018;140212;123825;83639;63351;53889;464909
20-03-2018;129870;119373;82245;64041;54108;449628
21-03-2018;127286;118910;82183;63903;54002;446277
22-03-2018;124803;116572;80626;62292;52990;437283
23-03-2018;128779;117504;79139;63637;51971;441023
24-03-2018;114458;106430;72783;59546;48542;401748
25-03-2018;101964;99447;69771;57517;46330;375030
26-03-2018;122696;112734;79958;64338;50995;430716
27-03-2018;128029;117275;81115;62929;52061;441398
28-03-2018;126882;116804;79164;59168;52216;434230
29-03-2018;119642;113331;75611;58083;50873;417530
30-03-2018;118671;110954;75876;57530;50912;413935
31-03-2018;115783;110457;75692;56514;50676;409110
01-04-2018;112605;106245;74755;55943;50025;399574
02-04-2018;118148;109195;76226;57316;50995;411875
03-04-2018;128934;118565;82262;60750;53671;444179
04-04-2018;124395;113925;81695;60804;52970;433782
05-04-2018;120574;111651;82954;58615;52313;426102
06-04-2018;114087;107257;79604;56907;51071;408919
07-04-2018;108444;100836;77471;56182;48921;391851
08-04-2018;107362;99450;74307;55419;48122;384650
09-04-2018;118658;105552;77523;58999;49740;410469
10-04-2018;113488;104778;76442;58298;47510;400511
11-04-2018;110547;102354;74198;58046;45320;390460
12-04-2018;107394;100938;73079;56328;44580;382316
13-04-2018;102483;98072;71261;51441;43642;366892
14-04-2018;90465;90540;66059;48050;42018;337124
15-04-2018;85438;86549;64048;49161;39212;324402
16-04-2018;98171;97210;67901;52435;41782;357489
17-04-2018;98349;96329;66372;51779;41975;354794
18-04-2018;94236;93824;65465;52547;42042;348108
19-04-2018;91819;91168;66813;52776;39014;341582
20-04-2018;90621;90853;69009;51853;40187;342518
21-04-2018;82828;87588;69074;49048;41099;329628
22-04-2018;82513;90742;66467;49558;41552;330827
23-04-2018;96272;99226;69515;51706;43075;359791
24-04-2018;95776;97769;70917;52473;43582;360515
25-04-2018;92992;96745;71765;52401;43966;357862
26-04-2018;93053;96221;72425;52903;44826;359420
27-04-2018;92496;95863;71366;52755;44746;357224
28-04-2018;86562;92812;68359;49412;43999;341140
29-04-2018;83225;90915;67759;49182;43198;334269
30-04-2018;90779;95681;70758;51531;43759;352502
01-05-2018;94749;97330;68751;49118;42765;352714
02-05-2018;93680;97296;68274;50267;44211;353718
03-05-2018;94713;96845;68100;48858;44332;352845
04-05-2018;93726;96676;70420;48463;45438;354711
05-05-2018;77828;87151;64860;46486;41797;318124
06-05-2018;72734;82020;63090;45976;39799;303613
07-05-2018;81351;89126;66820;50884;40552;328730
08-05-2018;78785;88796;66281;48829;40505;323192
09-05-2018;76307;86280;62087;45651;38256;308570
10-05-2018;68860;84906;60784;40802;39207;294554
11-05-2018;74527;87286;64687;43577;40766;310840
12-05-2018;68504;83495;61648;42618;38165;294425
13-05-2018;66592;79958;60457;41827;37795;286627
14-05-2018;73657;84730;63474;43895;38587;304337
15-05-2018;72797;84480;62769;44483;37870;302393
16-05-2018;71232;83629;63540;44563;39045;302001
17-05-2018;63598;78349;63942;44080;38621;288586
18-05-2018;69051;82705;63098;46867;40106;301828
19-05-2018;62451;80210;57475;46597;38572;285298
20-05-2018;59612;76977;55696;45312;37533;275130
21-05-2018;64766;76581;56119;45561;37124;280143
22-05-2018;74953;83875;61499;49146;36916;306383
23-05-2018;74574;85019;62730;48741;35697;306754
24-05-2018;74421;83920;62634;48886;28207;298061
25-05-2018;73277;81807;61510;47082;29861;293531
26-05-2018;65087;74958;59502;46475;29152;275172
27-05-2018;62866;74317;58466;46422;28822;270889
28-05-2018;73143;78330;61418;46882;32371;292135
29-05-2018;73476;78992;59189;46560;31297;289509
30-05-2018;71843;79567;58240;48615;29285;287549
31-05-2018;70635;80258;57891;47588;30480;286845
01-06-2018;68151;79436;58297;46319;33942;286144
02-06-2018;60606;75882;56969;45220;32566;271239
03-06-2018;58775;74592;57292;45348;31936;267938
04-06-2018;68414;78934;61062;49948;34003;292358
05-06-2018;68951;81327;63686;50861;35903;300721
06-06-2018;69871;81085;63553;51318;35692;301513
07-06-2018;68516;80965;62628;50610;34477;297194
08-06-2018;68115;80784;62373;49546;34392;295208
09-06-2018;59823;76024;58725;45541;33152;273264
10-06-2018;58495;75957;58772;44767;34221;272208
11-06-2018;67109;81689;64049;47898;36854;297599
12-06-2018;67672;82386;65268;48813;38182;302312
13-06-2018;67815;80461;63573;48435;41520;301793
14-06-2018;69846;81473;61950;45149;37797;296216
15-06-2018;67541;84099;61380;42921;35811;291742
16-06-2018;60456;78972;58404;41536;34503;273863
17-06-2018;60743;77956;58596;41887;33911;273093
18-06-2018;70766;83504;62408;45934;34962;297565
19-06-2018;69059;82451;65242;45488;35502;297741
20-06-2018;70233;87592;64633;45799;36080;304330
21-06-2018;72462;84041;66645;46310;37441;306892
22-06-2018;70629;81328;66410;46194;36961;301519
23-06-2018;62156;79687;62956;45328;36620;286741
24-06-2018;58178;75760;60037;45121;35758;274847
25-06-2018;67268;80987;63346;46666;37364;295632
26-06-2018;67209;82689;63192;47657;35930;296671
27-06-2018;64180;83137;62132;49239;36090;294776
28-06-2018;65492;80916;63476;47861;36771;294511
29-06-2018;63147;78699;63789;48102;35860;289591
30-06-2018;56688;75379;60098;45370;33941;271471
01-07-2018;54622;73414;57343;43040;35679;264093
02-07-2018;63067;80483;59176;40589;37108;280421
03-07-2018;63148;81348;60433;41062;37745;283732
04-07-2018;62683;81000;60072;45167;37170;286081
05-07-2018;62910;80506;59287;45096;37371;285166
06-07-2018;61416;79423;59486;43714;36940;280969
07-07-2018;53175;75658;58257;42594;35858;265533
08-07-2018;52161;74135;57632;40518;35457;259896
09-07-2018;59924;78751;60554;43621;37269;280115
10-07-2018;60502;78342;59974;42728;37079;278623
11-07-2018;60798;79194;58293;42942;36821;278039
12-07-2018;58985;79130;59179;41689;36421;275399
13-07-2018;58472;78920;59569;42649;37436;277037
14-07-2018;52503;73415;56160;42486;36012;260579
15-07-2018;50171;72714;55540;42719;35553;256691
16-07-2018;58262;77121;57194;41906;36744;271227
17-07-2018;58084;77497;56990;40221;36323;269113
18-07-2018;57936;76621;57624;40164;36233;268572
19-07-2018;57237;75701;58155;40280;36488;267850
20-07-2018;56780;77047;58353;40857;36489;269520
21-07-2018;51829;74060;56052;38963;35842;256743
22-07-2018;49842;73201;54269;39694;35617;252619
23-07-2018;57874;78240;56982;41377;37128;271596
24-07-2018;58581;77620;57737;41317;36788;272039
25-07-2018;56849;76668;56798;40920;36094;267326
26-07-2018;58178;75768;58110;40888;36534;269469
27-07-2018;57996;75512;57343;40946;35344;267133
28-07-2018;54149;73864;55511;38056;31701;253277
29-07-2018;51320;70746;54238;38025;32664;246991
30-07-2018;58927;79102;56151;39071;36408;269658
31-07-2018;61105;77185;57786;40185;36558;272819
01-08-2018;60323;76406;57843;40688;35470;270722
02-08-2018;60794;77889;57591;40974;38200;275441
03-08-2018;60691;78340;57203;39322;36963;272512
04-08-2018;54602;75393;54465;38615;35366;258436
05-08-2018;52619;71757;54004;37672;35853;251900
06-08-2018;61540;80004;59415;41937;39135;282021
07-08-2018;63554;79395;60414;43013;38099;284467
08-08-2018;64028;80444;60676;43024;38993;287164
09-08-2018;64282;79650;58827;42122;38083;282959
10-08-2018;62786;79753;60767;42520;37744;283564
11-08-2018;56201;74440;57449;40591;36556;265230
12-08-2018;57560;77322;58768;40381;37532;271560
13-08-2018;66751;81656;63419;46389;39669;297879
14-08-2018;68056;82156;62677;45799;38687;297369
15-08-2018;67895;81032;60988;45818;39480;295212
16-08-2018;68204;82249;60536;44183;36704;291866
17-08-2018;64771;81414;60814;42322;35155;284475
18-08-2018;59866;78676;58969;41457;33581;272324
19-08-2018;59375;77891;59743;41153;33191;271353
20-08-2018;69516;84363;65377;44934;36166;300352
21-08-2018;70948;85322;62136;46269;37078;301749
22-08-2018;69975;84690;65105;46863;36350;302973
23-08-2018;69196;82187;63449;45747;36441;297012
24-08-2018;68846;83614;63695;45646;37282;299076
25-08-2018;62376;81042;60616;43846;36240;284110
26-08-2018;62096;77735;60453;43404;35261;278945
27-08-2018;72751;85339;66008;49261;37245;310604
28-08-2018;72045;84575;64697;48161;37296;306772
29-08-2018;72001;84441;64188;48630;38576;307830
30-08-2018;70396;82265;64628;46033;36529;299846
31-08-2018;70207;83865;65277;45809;36643;301796
01-09-2018;63572;81315;62690;44714;34459;286742
02-09-2018;60102;77701;59742;43961;35183;276682
03-09-2018;70715;84953;60627;45957;38573;300820
04-09-2018;71576;85383;62966;47005;38310;305232
05-09-2018;71066;86164;62168;48437;38989;306817
06-09-2018;72032;85921;62870;47775;39798;308386
07-09-2018;70065;83428;62147;46619;39062;301318
08-09-2018;63808;80981;59201;43897;34851;282733
09-09-2018;62885;79158;58442;42865;36409;279751
10-09-2018;71790;81937;62556;46788;36717;299786
11-09-2018;74621;85542;62932;45940;37598;306633
12-09-2018;76440;89091;63231;46028;41183;315968
13-09-2018;77721;88883;65209;46943;42733;321491
14-09-2018;75672;88801;66011;46519;41971;318974
15-09-2018;68709;85469;64637;44615;39630;303054
16-09-2018;71550;86613;63393;43637;39717;304908
17-09-2018;78502;90921;66072;47271;41582;324350
18-09-2018;75652;86813;65053;47319;39915;314747
19-09-2018;71756;86429;64027;48149;39744;310100
20-09-2018;74387;88534;66901;45115;44372;319303
21-09-2018;78165;89766;67780;44915;43002;323621
22-09-2018;70640;85788;66154;43093;43138;308806
23-09-2018;71269;86973;66821;45038;42565;312664
24-09-2018;86279;95001;73065;50593;45983;350912
25-09-2018;91114;96653;72791;51598;46167;358319
26-09-2018;82695;90030;70903;49730;44763;338113
27-09-2018;88921;93110;73584;52529;46290;354430
