;NO1;NO2;NO3;NO4;NO5;NO
22-03-2017;114432;108002;81581;57765;49836;411606
23-03-2017;116192;109587;81605;60156;52082;419612
24-03-2017;116193;108180;81302;58132;51023;414832
25-03-2017;100578;99222;74852;54730;46867;376247
26-03-2017;85574;88389;67447;52087;42886;336378
27-03-2017;96049;96941;73843;58326;46211;371372
28-03-2017;98399;97194;77464;60675;45373;379105
29-03-2017;104994;101531;79355;60848;47147;393866
30-03-2017;114803;104439;80969;60086;48320;408611
31-03-2017;113048;101641;76744;60010;46627;398070
01-04-2017;96047;92099;69539;56624;43466;357772
02-04-2017;87766;90036;68939;56866;42913;346520
03-04-2017;98580;98397;72882;58960;44437;373255
04-04-2017;101419;100910;73533;54773;46157;376783
05-04-2017;99382;100058;76111;55021;47095;377660
06-04-2017;104530;102704;76052;56994;47374;387652
07-04-2017;93502;96596;73107;56722;44735;364660
08-04-2017;83756;92473;71126;54774;41910;344033
09-04-2017;83195;90219;69559;54480;41709;339155
10-04-2017;87385;95031;74827;57397;44867;359495
11-04-2017;90506;99786;77568;57208;47493;372553
12-04-2017;91037;96111;74642;55514;46533;363833
13-04-2017;92795;94739;69185;53931;45041;355685
14-04-2017;98008;95672;68704;53151;44956;360482
15-04-2017;101349;97734;68432;52966;44308;364783
16-04-2017;100295;98623;67396;51506;44114;361933
17-04-2017;103004;100062;69166;53058;45578;370865
18-04-2017;111001;105362;72708;57311;47637;394008
19-04-2017;107671;104891;74961;57761;48282;393563
20-04-2017;102974;102020;73916;56002;46596;381506
21-04-2017;96367;99219;76737;53900;46620;372838
22-04-2017;92653;94733;73743;51702;45517;358345
23-04-2017;91848;94390;73346;50725;45955;356259
24-04-2017;113575;98214;74759;54397;48073;389010
25-04-2017;112640;102239;73547;53606;46921;388942
26-04-2017;106237;100732;73950;53849;46921;381684
27-04-2017;110504;102134;74082;53275;46654;386643
28-04-2017;112235;103648;71478;52107;42837;382290
29-04-2017;95352;95800;66772;49726;40081;347728
30-04-2017;89064;88552;65788;49988;39166;332555
01-05-2017;87034;87612;65128;52514;37388;329672
02-05-2017;89231;89323;66050;55113;38099;337807
03-05-2017;82584;87779;66381;53824;37011;327576
04-05-2017;82972;85956;66536;54093;37398;326955
05-05-2017;80375;84396;64964;51545;38192;319468
06-05-2017;66754;77781;62883;50168;31924;289502
07-05-2017;70856;78527;64103;50480;30091;294050
08-05-2017;89336;89430;71248;55147;35930;341088
09-05-2017;93416;94078;72143;54189;40707;354530
10-05-2017;103679;98256;71434;54207;41706;369277
11-05-2017;106526;97758;66316;54173;40753;365524
12-05-2017;97374;91460;64443;49982;38640;341900
13-05-2017;84322;88137;60031;45112;36510;314107
14-05-2017;81827;85625;56447;44831;35393;304120
15-05-2017;89939;90012;59463;46716;36755;322882
16-05-2017;94793;92262;59295;45388;37566;329300
17-05-2017;79000;82811;54092;42017;35695;293612
18-05-2017;82476;89098;62822;42455;38202;315048
19-05-2017;80423;86929;64082;42784;36721;310934
20-05-2017;69887;81730;61030;40988;34404;288035
21-05-2017;68869;80814;60981;40597;35630;286886
22-05-2017;78174;87517;67538;44638;39399;317261
23-05-2017;78750;88040;65451;45593;41778;319602
24-05-2017;74535;85119;63789;45039;40499;308972
25-05-2017;67392;82034;63383;42230;38893;293924
26-05-2017;69123;82480;63730;42329;37235;294891
27-05-2017;62109;77175;60293;39870;34849;274288
28-05-2017;61656;76532;58895;39394;34063;270538
29-05-2017;73321;83553;63371;43364;37201;300809
30-05-2017;75449;83805;63482;45655;40381;308768
31-05-2017;74916;83560;66098;45323;40069;309965
01-06-2017;74312;83945;68286;44485;39510;310536
02-06-2017;75869;84555;65277;43730;40201;309624
03-06-2017;69919;81667;56297;42894;37461;288236
04-06-2017;67454;77605;53962;41304;37598;277922
05-06-2017;68148;77595;55982;41126;36344;279190
06-06-2017;74906;80450;60914;40684;37696;294647
07-06-2017;75845;80383;60964;37260;36073;290519
08-06-2017;77361;81891;62313;37877;37781;297217
09-06-2017;77487;82236;61114;37726;37585;296151
10-06-2017;69227;76570;58623;35507;35628;275553
11-06-2017;68411;76961;57853;36688;34944;274848
12-06-2017;75145;82567;62267;39864;38274;298115
13-06-2017;72786;80044;63094;41044;36704;293666
14-06-2017;73304;81382;62325;43223;35677;295903
15-06-2017;72640;81814;60342;41832;31333;287958
16-06-2017;70427;78830;59998;43009;32014;284272
17-06-2017;61871;75679;59381;40570;33863;271356
18-06-2017;59872;73751;58860;40700;33368;266550
19-06-2017;70720;79663;62883;45619;35337;294220
20-06-2017;71435;81172;64429;44880;35968;297878
21-06-2017;71551;82547;64186;46019;36066;300362
22-06-2017;72352;83112;63363;47118;34985;300918
23-06-2017;70282;82126;61087;45577;35541;294605
24-06-2017;61018;76208;57640;42507;33268;270638
25-06-2017;59639;75200;58735;42237;33380;269190
26-06-2017;69383;81469;63044;44698;35306;293894
27-06-2017;69756;83127;61676;46429;36248;297229
28-06-2017;67602;82739;61264;46960;34983;293549
29-06-2017;68464;81405;61158;45384;35362;291772
30-06-2017;66235;78987;59218;43292;35180;282904
01-07-2017;57841;74030;57248;40349;34020;263484
02-07-2017;55096;72319;56968;41476;34802;260653
03-07-2017;64933;79924;60230;44387;35564;285034
04-07-2017;66434;81151;63133;46036;37117;293871
05-07-2017;65786;81087;60959;46046;37048;290924
06-07-2017;65916;80676;62538;46119;37227;292463
07-07-2017;64125;80221;60396;44419;37581;286738
08-07-2017;56741;73687;57582;41382;35374;264765
09-07-2017;54312;74248;57629;40295;36144;262620
10-07-2017;64058;78023;59550;39890;36712;278228
11-07-2017;63005;79481;61774;42028;35263;281548
12-07-2017;62755;78380;59320;41726;36661;278838
13-07-2017;63312;77987;60559;42967;36667;281489
14-07-2017;60676;77856;61527;44128;36605;280783
15-07-2017;54706;74004;58378;42246;35470;264798
16-07-2017;53453;71004;54339;41162;34434;254387
17-07-2017;61202;75653;60510;41957;36042;275361
18-07-2017;60794;75108;60366;42841;36392;275494
19-07-2017;59514;75325;57554;43918;36419;272725
20-07-2017;59011;73619;57943;43887;33897;268351
21-07-2017;58402;75880;57228;42548;34495;268549
22-07-2017;53772;72658;55214;41361;33907;256907
23-07-2017;51877;68681;55293;39771;32534;248148
24-07-2017;57742;75491;57606;41573;35264;267676
25-07-2017;57839;75428;58004;41829;35475;268573
26-07-2017;59971;73874;56411;43454;35612;269313
27-07-2017;60995;73846;57914;41877;35593;270217
28-07-2017;61318;74187;56462;42124;35103;269178
29-07-2017;57173;71283;55919;40488;34762;259622
30-07-2017;56003;69994;55076;40735;34367;256167
31-07-2017;63304;73742;57107;43728;35851;273727
01-08-2017;64109;75409;57278;43866;36173;276824
02-08-2017;63640;75872;57388;43292;33245;273428
03-08-2017;64521;76522;58622;44288;37177;281128
04-08-2017;62857;74670;57398;42970;35959;273853
05-08-2017;57569;72323;56492;41444;34592;262417
06-08-2017;56276;72386;55768;41312;34961;260697
07-08-2017;67469;80114;59936;43923;37563;288997
08-08-2017;68387;79460;61462;44195;37324;290827
09-08-2017;70473;81525;61172;42997;38220;294376
10-08-2017;68123;79006;60230;44052;37957;289365
11-08-2017;66500;78864;60718;43912;38355;288341
12-08-2017;59820;74375;58795;41441;36511;270943
13-08-2017;58498;74259;59574;42840;37113;272280
14-08-2017;68401;81085;64933;44733;38255;297401
15-08-2017;69336;82611;64637;46344;39151;302074
16-08-2017;69474;79839;62278;45336;37067;293985
17-08-2017;68884;81981;62957;44555;37903;296276
18-08-2017;68820;80783;62320;43018;37758;292691
19-08-2017;61424;74344;58666;40917;36248;271597
20-08-2017;61442;72887;57969;40528;37717;270541
21-08-2017;70762;80800;61430;43478;37248;293712
22-08-2017;72404;82124;63475;46178;38763;302944
23-08-2017;71394;80180;62859;47106;38718;300253
24-08-2017;72873;83224;62772;46174;38963;304003
25-08-2017;70887;80976;63368;44973;38166;298362
26-08-2017;64410;77852;60635;44031;36518;283439
27-08-2017;62885;75285;60451;43614;35404;277634
28-08-2017;72365;81869;63267;47270;37915;302678
29-08-2017;74107;80444;61780;45126;37610;299059
30-08-2017;73372;82929;62484;44390;38756;301920
31-08-2017;74908;82380;63764;44823;38087;303957
01-09-2017;74024;81935;62826;44017;38433;301238
02-09-2017;65688;77737;60208;43798;34938;282366
03-09-2017;65333;75305;59858;43363;33157;277011
04-09-2017;77560;81251;63245;45540;34900;302490
05-09-2017;78746;83302;61217;46673;35659;305668
06-09-2017;79387;81998;60991;46892;34479;303741
07-09-2017;80545;83172;61565;47351;35431;308062
08-09-2017;81415;84759;62075;45536;35739;309522
09-09-2017;73428;79776;59446;43528;34446;290617
10-09-2017;69826;76742;59661;44006;34028;284254
11-09-2017;79061;81127;63728;46731;34894;305542
12-09-2017;80285;80883;64288;47108;35594;308151
13-09-2017;80058;83547;63730;46756;35344;309431
14-09-2017;80734;85864;66703;46667;36264;316226
15-09-2017;80255;84198;66376;46091;36372;313284
16-09-2017;72737;80661;61459;44086;35089;294030
17-09-2017;71747;79055;62294;44434;34893;292420
18-09-2017;79721;85320;64491;45228;36582;311336
19-09-2017;82123;85549;64853;46224;36103;314849
20-09-2017;86002;86946;65478;46613;36204;321236
21-09-2017;88741;86013;67432;47172;36724;326080
22-09-2017;85803;86288;67911;45393;36711;322101
23-09-2017;76801;81514;62852;43492;35634;300291
24-09-2017;74047;79006;61784;41971;34796;291603
25-09-2017;82064;81694;64644;45731;37698;311819
26-09-2017;83128;81758;64033;46661;39061;314629
27-09-2017;82050;81627;64252;46783;38780;313488
28-09-2017;83655;83445;65029;47325;39538;318993
29-09-2017;84559;86471;64004;47467;39180;321665
30-09-2017;76056;82266;62036;45059;38292;303703
01-10-2017;76177;83221;60711;44331;38971;303407
02-10-2017;85407;87816;65053;47367;40458;326093
03-10-2017;83960;89777;63696;49885;41559;328877
04-10-2017;88938;91971;65093;49779;42590;338365
05-10-2017;91621;93211;66869;50224;43631;345553
06-10-2017;88543;90538;66594;49054;44073;338800
07-10-2017;82031;86530;66292;47188;42154;324192
08-10-2017;82417;86250;65183;47747;41063;322653
09-10-2017;95662;93655;69680;50930;44296;354223
10-10-2017;102652;95748;71852;50940;38746;359929
11-10-2017;104325;95459;71299;49977;35828;356878
12-10-2017;94728;90242;69111;50080;43111;347267
13-10-2017;97948;93924;70445;48947;44009;355271
14-10-2017;82764;84098;66727;46493;40736;320818
15-10-2017;82299;85323;65123;44506;40995;318243
16-10-2017;84737;87015;68072;50450;42669;332940
17-10-2017;89944;89173;69965;50353;43349;342772
18-10-2017;93191;89820;71932;50581;43847;349368
19-10-2017;104515;95764;72084;51977;46525;370860
20-10-2017;103127;94853;73337;52968;45019;369303
21-10-2017;94548;89722;68259;50912;42186;345615
22-10-2017;95873;87148;68358;51105;42441;344928
23-10-2017;110534;96781;74846;56708;43661;382522
24-10-2017;113913;97810;75122;57538;45742;390115
25-10-2017;109776;93178;74052;55999;43568;376564
26-10-2017;108430;94395;69917;55270;43992;372004
27-10-2017;108650;96378;67784;53645;44970;371422
28-10-2017;93283;91720;68468;50633;43496;347597
29-10-2017;98720;95777;75657;53863;47433;371441
30-10-2017;115794;102894;77914;58409;50198;405203
31-10-2017;114740;102158;73684;58129;47599;396303
01-11-2017;111117;95256;73153;57429;45565;382520
02-11-2017;107733;95224;74755;57550;44721;379979
03-11-2017;113039;98801;77462;54479;46557;390332
04-11-2017;104473;94459;70499;50623;44192;364242
05-11-2017;97976;91583;70678;50718;44605;355552
06-11-2017;112827;102867;78990;54867;48715;398262
07-11-2017;119870;106505;78996;55588;48359;409315
08-11-2017;112298;103094;76967;54748;46693;393794
09-11-2017;109149;101154;76957;52881;46577;386712
10-11-2017;116310;105596;79377;54252;49228;404753
11-11-2017;114525;103705;77660;53201;48443;397534
12-11-2017;114776;103381;75928;54331;47715;396125
13-11-2017;123659;112695;82768;58184;51745;429047
14-11-2017;131263;112627;82162;57705;51687;435436
15-11-2017;126722;108366;81110;57690;49613;423493
16-11-2017;126640;110675;80309;58501;49991;426107
17-11-2017;119138;108178;82270;60228;49800;419608
18-11-2017;115923;106463;80310;57747;49291;409725
19-11-2017;120469;104905;80824;59180;49273;414645
20-11-2017;141354;118356;87082;64406;53510;464701
21-11-2017;145866;120585;90648;64540;55922;477553
22-11-2017;152159;122661;90981;65279;55689;487442
23-11-2017;126522;110509;84261;63726;50678;435692
24-11-2017;124481;111066;82528;62114;51462;431651
25-11-2017;120779;110143;80183;57161;50713;418967
26-11-2017;117114;103621;80404;57370;49903;408404
27-11-2017;132360;117211;90070;60579;53293;453508
28-11-2017;139116;117761;90511;62223;53442;463045
29-11-2017;137839;119540;91439;63916;55436;468163
30-11-2017;140089;124495;91262;66563;59026;481424
01-12-2017;142122;124691;91699;64836;56569;479908
02-12-2017;137431;116216;81844;58821;51419;445733
03-12-2017;131271;110019;80458;57647;50188;429584
04-12-2017;146439;119463;85222;62789;52933;466845
05-12-2017;142836;114236;83660;63286;50518;454534
06-12-2017;138543;110820;84677;62031;49455;445521
07-12-2017;126248;110491;81020;63599;46352;427712
08-12-2017;124173;116052;81969;63403;51434;437027
09-12-2017;119158;113099;81096;59517;51966;424830
10-12-2017;135193;117131;81726;59026;53393;446465
11-12-2017;145917;125537;88610;61793;56275;478127
12-12-2017;152754;129148;91017;64581;51670;489165
13-12-2017;159505;126433;88699;65532;49804;489972
14-12-2017;148982;125739;91551;64959;55211;486431
15-12-2017;145168;125687;92187;65064;57441;485540
16-12-2017;139781;126049;86867;62046;57066;471801
17-12-2017;149628;125810;83749;61592;56100;476876
18-12-2017;153533;125141;86020;64372;55457;484514
19-12-2017;153293;124230;81889;63104;53597;476106
20-12-2017;143346;118140;79129;59301;50965;450874
21-12-2017;146264;117353;82795;60745;51563;458720
22-12-2017;144978;115801;82537;60911;51587;455809
23-12-2017;124525;104575;74673;58675;48229;410667
24-12-2017;122666;105342;73477;59035;47763;408280
25-12-2017;122529;105156;75150;60183;48365;411373
26-12-2017;121475;104443;79040;61841;51158;417954
27-12-2017;125883;115089;85771;64989;52890;444623
28-12-2017;128058;117432;86403;66125;54001;452013
29-12-2017;128818;119429;86264;64528;54258;453293
30-12-2017;133475;118176;83381;60175;52590;447796
31-12-2017;129881;114954;81448;59959;51992;438228
