;NO1;NO2;NO3;NO4;NO5;NO
01-01-2017;112827;100675;71528;53617;47853;386494
02-01-2017;139461;117470;82961;63029;53159;456079
03-01-2017;142170;116827;84025;67019;52852;462886
04-01-2017;146244;118651;87805;69787;54714;477197
05-01-2017;164698;128940;92610;69211;59118;514575
06-01-2017;161067;125848;88551;64120;57453;497030
07-01-2017;134395;111729;80693;59117;51780;437705
08-01-2017;135480;112473;78638;56634;50836;434056
09-01-2017;139530;113955;80664;59285;49917;443353
10-01-2017;131828;113392;79826;62554;50363;437960
11-01-2017;126476;111721;80806;62377;51631;433004
12-01-2017;132203;114867;84432;62610;53119;447221
13-01-2017;139825;119470;85948;62589;51072;458897
14-01-2017;136409;114383;81997;60268;52534;445585
15-01-2017;139830;118551;83254;60330;54612;456571
16-01-2017;156214;130118;87420;64010;58809;496565
17-01-2017;152325;123941;83961;61799;55747;477768
18-01-2017;145181;114923;78999;60765;51349;451214
19-01-2017;138652;110689;79120;61441;49830;439731
20-01-2017;128793;107039;78656;63094;48323;425899
21-01-2017;123970;104625;74317;60420;47458;410782
22-01-2017;125432;108000;75070;59175;48639;416310
23-01-2017;142235;116683;80094;62908;50366;452287
24-01-2017;147266;119060;80283;63672;50671;460949
25-01-2017;141113;113475;77607;60500;50077;442765
26-01-2017;133603;114011;78030;59008;50685;435327
27-01-2017;135174;116824;82393;57760;52169;444319
28-01-2017;127619;110395;78322;54914;50761;422006
29-01-2017;126158;108952;75542;54927;49364;414945
30-01-2017;133687;115027;82167;61156;52732;444768
31-01-2017;139564;117565;85724;62587;53483;458923
01-02-2017;139591;119751;83869;63167;55244;461621
02-02-2017;139164;118195;83030;62365;52352;455099
03-02-2017;135559;114925;81072;62331;49796;443677
04-02-2017;126097;110909;78161;61343;47838;424338
05-02-2017;124808;110479;78015;60222;48080;421601
06-02-2017;138346;118255;83231;64983;51667;456472
07-02-2017;150729;126443;87787;65550;55277;485778
08-02-2017;158837;131263;90386;65638;57675;503789
09-02-2017;161866;131656;89857;67366;59113;509846
10-02-2017;154102;128661;87381;66650;57378;494166
11-02-2017;140306;118853;84455;63805;53813;461226
12-02-2017;138330;117622;84294;59022;52918;452183
13-02-2017;147228;125817;83544;59838;54617;471036
14-02-2017;146149;125609;82104;59578;54873;468301
15-02-2017;147417;123772;83050;60506;55233;469973
16-02-2017;144739;118077;80744;61972;51274;456801
17-02-2017;137197;114073;78822;60193;50470;440753
18-02-2017;130815;111283;75622;60841;50471;429026
19-02-2017;117418;103106;72575;61373;47011;401483
20-02-2017;122998;107814;78660;65747;47503;422715
21-02-2017;123146;108625;80910;67433;49995;430105
22-02-2017;125945;111008;80818;68124;50999;436896
23-02-2017;129702;112821;85115;68568;52433;448634
24-02-2017;134465;116859;83884;66181;52971;454354
25-02-2017;131413;113656;79035;61960;52417;438477
26-02-2017;119318;105796;76954;62240;48834;413138
27-02-2017;126748;108800;80346;65632;50045;431566
28-02-2017;123567;109009;81398;65105;49623;428699
01-03-2017;124941;112390;78960;64562;50934;431775
02-03-2017;129939;115976;81549;64434;52581;444472
03-03-2017;131185;111788;82454;63921;52013;441357
04-03-2017;123974;108265;79186;61757;49403;422576
05-03-2017;126964;112122;78198;59988;48851;426117
06-03-2017;140255;121899;83443;62993;52839;461425
07-03-2017;142402;124617;85072;63558;54405;470046
08-03-2017;139065;125552;84169;64017;55376;468175
09-03-2017;133104;114955;82678;64112;52565;447408
10-03-2017;121916;110628;80514;61934;51823;426817
11-03-2017;114263;105837;76222;59086;49370;404771
12-03-2017;110231;104222;73467;58446;48372;394730
13-03-2017;124812;113587;76533;60366;50988;426273
14-03-2017;119330;107660;76160;59127;49476;411749
15-03-2017;112237;106275;77109;58837;48873;403328
16-03-2017;116455;108174;77298;59049;49462;410434
17-03-2017;111237;106587;79785;58479;50446;406527
18-03-2017;108355;102246;77344;56897;49316;394150
19-03-2017;111953;105986;76772;57300;49813;401820
20-03-2017;120828;110168;77916;60038;50597;419542
21-03-2017;116184;108527;77559;59047;47603;408916
