;NO1;NO2;NO3;NO4;NO5;NO
01-01-2013;119466;102585;61390;56148;49597;389179
02-01-2013;139831;114056;67395;58502;52784;432566
03-01-2013;142882;109892;66199;58212;51702;428884
04-01-2013;135779;106855;66334;59715;49704;418382
05-01-2013;128358;104190;62596;56538;48365;400043
06-01-2013;124906;103644;61702;54840;48420;393507
07-01-2013;139227;113176;66734;57808;51664;428604
08-01-2013;139603;112128;66552;59887;52519;430687
09-01-2013;143574;114442;69348;59830;53343;440532
10-01-2013;147268;116421;73189;60698;55370;452936
11-01-2013;153130;122068;76531;60765;58064;470552
12-01-2013;154084;121316;75151;57240;57301;465086
13-01-2013;159429;120812;74864;56278;57448;468825
14-01-2013;178362;130487;79683;59101;60738;508369
15-01-2013;177172;131060;80730;61395;62561;512914
16-01-2013;177782;133680;80839;62375;61402;516077
17-01-2013;171898;132089;81082;62011;60755;507832
18-01-2013;171353;130335;81307;58969;61466;503428
19-01-2013;165839;127121;77095;56066;59896;486010
20-01-2013;151926;124472;73376;58174;58441;466388
21-01-2013;170562;131529;80149;61896;59297;503428
22-01-2013;172509;141165;87725;57784;58697;517867
23-01-2013;183001;138962;81759;61927;60434;526078
24-01-2013;176823;137810;80518;62838;59982;517967
25-01-2013;178701;133646;79696;62786;57205;512027
26-01-2013;159354;122576;73251;58213;54790;468173
27-01-2013;149355;115142;71114;55348;51518;442469
28-01-2013;148581;116371;72633;60417;52759;450756
29-01-2013;143859;115049;72436;59159;51870;442375
30-01-2013;135373;113641;70713;58434;53434;431588
31-01-2013;134683;113373;69792;57505;53032;428381
01-02-2013;151045;120208;73157;56997;54216;455618
02-02-2013;146696;115671;68219;53209;51982;435773
03-02-2013;143355;114007;67244;53922;50558;429075
04-02-2013;151376;119513;72892;58838;53129;455746
05-02-2013;152096;119205;72859;56513;52104;452771
06-02-2013;146560;120041;72999;58737;53417;451743
07-02-2013;149529;122430;76601;59953;55286;463794
08-02-2013;156239;125497;79369;58765;56622;476490
09-02-2013;152322;121991;77767;55716;54509;462310
10-02-2013;148491;118168;76849;55128;54847;453470
11-02-2013;162946;127248;78937;57953;57934;485023
12-02-2013;159736;127927;77557;58080;59092;482386
