;NO1;NO2;NO3;NO4;NO5;NO
29-05-2015;81685;90660;55048;45049;44854;317291
30-05-2015;79361;85041;51968;41329;43897;301590
31-05-2015;73844;81177;50801;41108;42735;289667
01-06-2015;82443;87262;55440;44412;45875;315426
02-06-2015;88547;89698;56140;45104;48283;327764
03-06-2015;82179;86424;56781;45161;47116;317656
04-06-2015;79306;87892;56500;47706;46322;317724
05-06-2015;75821;85807;55406;48116;44012;309157
06-06-2015;68237;79109;51927;44470;41550;285290
07-06-2015;65267;76124;50291;42974;42878;277530
08-06-2015;75126;85260;55445;47623;44931;308384
09-06-2015;73882;85785;56532;47727;45170;309088
10-06-2015;72124;84218;56272;46999;45058;304665
11-06-2015;71605;83048;53922;47152;42360;298088
12-06-2015;69799;81554;54747;46144;45612;297850
13-06-2015;61581;78000;52025;44249;44040;279894
14-06-2015;60445;76501;51422;43872;44722;276959
15-06-2015;73330;85066;56537;46834;48178;309942
16-06-2015;72697;85600;55673;46780;46691;307443
17-06-2015;77533;87188;54885;47815;47565;314981
18-06-2015;76840;84232;53185;46453;47038;307746
19-06-2015;71997;83795;52544;44657;45776;298767
20-06-2015;63435;79243;48870;41913;43822;277275
21-06-2015;61774;77891;47126;41669;42682;271139
22-06-2015;71252;83653;50412;44409;44232;293949
23-06-2015;70806;82296;52035;43762;43197;292095
24-06-2015;70409;83511;52260;44428;43023;293628
25-06-2015;72324;85530;52039;44400;46726;301015
26-06-2015;70046;83688;52567;45786;45197;297279
27-06-2015;59401;77939;47886;42958;42193;270367
28-06-2015;59522;75276;47382;42394;42359;266928
29-06-2015;69287;79692;51739;45660;44498;290870
30-06-2015;67569;80878;52789;46001;44143;291373
01-07-2015;66851;79882;52846;43359;44846;287782
02-07-2015;65797;78698;51857;44017;43376;283741
03-07-2015;64182;77340;51602;43421;42827;279367
04-07-2015;56252;73413;49361;41737;40060;260823
05-07-2015;54116;72550;47742;41863;37747;254014
06-07-2015;62695;77387;51098;43138;39748;274061
07-07-2015;62993;80698;53119;44536;41272;282608
08-07-2015;64370;80525;52824;44433;42227;284376
09-07-2015;64755;78299;55308;42209;40749;281317
10-07-2015;62740;79323;55013;41567;40399;279032
11-07-2015;56376;77346;49807;41499;37254;262268
12-07-2015;53990;75257;48333;39656;37758;254992
13-07-2015;61781;79241;50680;40574;40739;273008
14-07-2015;61310;78987;52214;41291;40242;274034
15-07-2015;58415;77521;52310;41318;40067;269632
16-07-2015;62034;77233;53265;42020;39839;274385
17-07-2015;60655;77437;51910;41692;39877;271571
18-07-2015;55392;73040;50433;39168;38455;256481
19-07-2015;53769;74294;49646;39188;38597;255490
20-07-2015;60781;77270;51278;40555;40083;269966
21-07-2015;61831;77472;51455;41925;40756;273437
22-07-2015;61348;77207;50330;40748;41001;270633
23-07-2015;59749;76581;50495;40576;43415;270810
24-07-2015;59966;77162;51579;40824;43872;273396
25-07-2015;56691;74677;49062;40352;41729;262509
26-07-2015;58246;73779;48664;38762;40031;259481
27-07-2015;63054;78182;50561;38902;42149;272843
28-07-2015;63906;78972;51987;39297;43198;277352
29-07-2015;64811;78044;51778;39500;41835;275961
30-07-2015;64005;76006;52209;39712;42051;273982
31-07-2015;62243;76430;51696;40041;42797;273200
01-08-2015;57771;75999;49281;40675;43088;266816
02-08-2015;56020;72824;49993;40978;42664;262471
03-08-2015;65392;78928;50926;44838;44611;284692
04-08-2015;67841;79795;51545;44562;43636;287370
05-08-2015;66675;78957;50844;43483;42578;282529
06-08-2015;65927;80300;51974;44456;43602;286261
07-08-2015;66424;78906;51223;42932;37998;277471
08-08-2015;58233;74938;49087;41156;38601;262011
09-08-2015;57301;75472;48566;41657;42785;265779
10-08-2015;66726;79793;52427;44455;44206;287601
11-08-2015;66666;79856;52217;42683;44272;285689
12-08-2015;67381;80590;53201;42312;45016;288496
13-08-2015;69104;80504;53893;44971;45893;294357
14-08-2015;66709;77465;52736;43825;44032;284767
15-08-2015;58978;74106;49344;41679;41869;265976
16-08-2015;57944;71096;48302;40158;38558;256052
17-08-2015;66261;77516;50998;43198;40299;278275
18-08-2015;66728;79328;52087;43757;40763;282656
19-08-2015;66965;80440;51504;42992;41274;283164
20-08-2015;67768;80239;51749;41483;40607;281844
21-08-2015;67360;78150;50530;42520;41630;280184
22-08-2015;59916;72547;47324;39525;39935;259246
23-08-2015;58482;70075;46015;38976;39958;253502
24-08-2015;68742;74960;51305;42714;42046;279760
25-08-2015;70099;76308;51677;42990;42002;283075
26-08-2015;70562;76635;51934;43027;41193;283345
27-08-2015;70495;79015;51376;42490;43377;286748
28-08-2015;69697;77005;48839;41130;43964;280630
29-08-2015;63739;73856;46870;40339;42975;267777
30-08-2015;61863;71897;47375;41266;43475;265868
31-08-2015;71564;78099;51134;44688;46190;291674
01-09-2015;74136;81513;51794;45283;46372;299095
02-09-2015;75533;79904;53777;45575;44959;299746
03-09-2015;74296;80611;52561;45617;43945;297030
04-09-2015;73475;81141;53606;45005;46104;299325
05-09-2015;67062;77386;48092;42490;44429;279453
06-09-2015;67634;75921;47025;42731;44286;277589
07-09-2015;77901;82134;50843;47102;45845;303819
08-09-2015;75605;81296;51056;47303;45502;300759
09-09-2015;73580;82469;51060;46849;45148;299098
10-09-2015;74518;81723;51609;46324;45502;299676
11-09-2015;73643;80917;50625;44920;43997;294100
12-09-2015;69106;76736;48691;41669;42847;279045
13-09-2015;67060;76358;47738;41792;41895;274836
14-09-2015;76682;82755;50963;44471;44095;298966
15-09-2015;80184;86739;50630;44443;44571;306558
16-09-2015;81546;87077;52114;43091;43814;307634
17-09-2015;81578;86316;53666;43302;44419;309274
18-09-2015;78125;81314;53346;42638;43826;299246
19-09-2015;70769;79678;52171;41695;43482;287791
20-09-2015;71886;77872;51560;42018;43062;286389
21-09-2015;82987;85229;54487;45690;46689;315076
22-09-2015;85260;86589;56086;45122;46775;319830
23-09-2015;82891;84462;56384;45461;45108;314296
24-09-2015;79897;85870;55546;46098;42655;310067
25-09-2015;78681;85839;55332;44747;45863;310441
26-09-2015;77295;79861;53368;42728;44273;297517
27-09-2015;75484;80405;52529;43669;44929;297013
28-09-2015;83176;85631;55479;47611;46393;320925
29-09-2015;83424;84632;55513;47006;46474;318024
30-09-2015;83381;84730;56382;48078;46929;319489
01-10-2015;83672;83568;57145;47121;45858;317364
02-10-2015;80479;84224;57979;46946;46086;315711
03-10-2015;76096;81831;54971;46724;44958;304573
04-10-2015;75292;80903;55703;46856;44260;303012
05-10-2015;86479;87291;59085;51777;47433;332056
06-10-2015;88376;86618;60169;50849;46943;332951
07-10-2015;92443;90927;59778;51181;47442;341767
08-10-2015;95136;92093;60511;51148;48251;347132
09-10-2015;94696;92493;60427;50914;48410;346936
10-10-2015;85267;85018;56211;49925;46836;323249
11-10-2015;81945;84087;56927;46923;46884;316766
12-10-2015;93189;91303;60375;48744;50396;343998
13-10-2015;95630;94429;60107;50390;50084;350636
14-10-2015;101190;96224;60020;49407;50978;357817
15-10-2015;103768;94203;61901;48911;52149;360926
16-10-2015;105663;95398;59570;50396;51419;362442
17-10-2015;98442;90053;58259;48079;50118;344946
18-10-2015;95574;88231;56554;46692;48671;335720
19-10-2015;106102;95809;59658;49746;54466;365777
20-10-2015;104485;96578;58017;50770;53239;363080
21-10-2015;104522;96442;58720;51057;52818;363556
22-10-2015;95027;90935;56400;50288;50312;342959
23-10-2015;91768;89974;59154;50056;49609;340562
24-10-2015;89346;87024;57322;47719;49066;330470
25-10-2015;88884;89243;60112;49212;49643;337087
26-10-2015;101382;93437;60637;53126;49530;358109
27-10-2015;103856;96251;61470;56050;50900;368524
28-10-2015;104084;96927;62333;56121;53138;372602
29-10-2015;104763;99045;64595;55352;54848;378597
30-10-2015;102691;98891;64548;55612;52565;374299
31-10-2015;90874;89738;57593;52157;48154;338509
01-11-2015;86825;87632;57562;48913;47514;328443
02-11-2015;97196;94162;59931;51012;50309;352607
03-11-2015;98977;95016;60776;52556;51660;358981
04-11-2015;100887;97901;60895;51984;51223;362887
05-11-2015;106740;98069;63936;53417;52618;374766
06-11-2015;102520;95605;63688;55398;51410;368615
07-11-2015;86099;86233;60672;51884;48133;333016
08-11-2015;87023;86750;59823;51437;49307;334333
09-11-2015;100373;96649;64837;53395;53203;368459
10-11-2015;105783;98905;63874;53715;52278;374551
11-11-2015;109961;100100;66067;54387;53414;383920
12-11-2015;109276;99822;66654;56002;53701;385450
13-11-2015;104612;99579;66178;53591;53097;377052
14-11-2015;101762;96718;65103;48865;48283;360725
15-11-2015;103543;94973;64049;49905;51397;363855
16-11-2015;122246;103787;69023;54252;55694;404999
17-11-2015;120216;105010;69247;56764;55735;406965
18-11-2015;122160;105467;70232;56417;55234;409507
19-11-2015;128074;107273;71600;57974;57380;422294
20-11-2015;135392;113738;72929;59645;61035;442739
21-11-2015;131149;109949;71408;58709;59807;431020
22-11-2015;130562;112272;69996;59516;60973;433312
23-11-2015;142947;120925;72068;61691;62058;459682
24-11-2015;133581;112584;71657;60096;59488;437404
25-11-2015;127832;114407;71083;59896;60726;433939
26-11-2015;134321;116223;71770;59569;60134;442012
27-11-2015;114671;103755;67417;57814;55217;398873
28-11-2015;106580;101092;67303;56010;56555;387528
29-11-2015;109890;103380;67633;55955;56458;393313
30-11-2015;128615;113785;73569;59179;59404;434546
01-12-2015;131132;114798;73539;58808;60708;438985
02-12-2015;131149;110416;71839;57449;58831;429678
03-12-2015;130927;108674;71220;57295;58441;426550
04-12-2015;126103;105304;70486;56549;59521;417956
05-12-2015;106434;100165;66830;53819;54723;381963
06-12-2015;101188;100452;65209;53515;54617;374980
07-12-2015;120160;110151;70254;57567;59816;417942
08-12-2015;122429;106033;69374;58567;56895;413299
09-12-2015;113830;104302;67413;56645;56569;398754
10-12-2015;114646;103357;70492;57199;56110;401799
11-12-2015;125260;112773;72248;58715;58487;427478
12-12-2015;124004;110995;69724;56683;58250;419647
13-12-2015;128302;112793;69502;57815;59611;428019
14-12-2015;152302;121657;75719;63856;63130;476663
15-12-2015;155795;123571;74641;62549;63851;480399
16-12-2015;154138;119462;74184;61691;62587;472062
17-12-2015;142562;112566;72302;62211;58704;448344
18-12-2015;126449;105061;67739;59505;56566;415310
19-12-2015;110162;98890;63091;53449;54391;379977
20-12-2015;100983;96581;62061;52359;52932;364911
21-12-2015;109922;101823;66137;54807;57014;389694
22-12-2015;114970;104408;66072;57725;58306;401480
23-12-2015;115946;105631;64433;56408;58299;400712
24-12-2015;104775;102329;61212;52128;56291;376732
25-12-2015;100760;101896;60036;51483;55029;369196
26-12-2015;114235;107272;65114;56103;58324;401043
27-12-2015;129370;113435;71084;56824;60060;430764
28-12-2015;138668;120240;75637;61092;65156;460792
29-12-2015;134524;115884;71658;60760;61904;444728
30-12-2015;129270;110486;68054;57889;59008;424703
31-12-2015;125278;106058;63060;55368;56513;406275
