;NO1;NO2;NO3;NO4;NO5;NO
01-01-2015;118122;101614;59087;52017;53934;384768
02-01-2015;117556;106015;65358;54053;56807;399788
03-01-2015;119150;108083;67500;55420;58172;408319
04-01-2015;125667;110384;68123;56531;58946;419646
05-01-2015;140739;117860;71590;63866;61742;455799
06-01-2015;134381;113588;69133;63971;59225;440289
07-01-2015;129089;113166;68950;61546;59840;432585
08-01-2015;125283;111126;69891;59359;59202;424852
09-01-2015;136146;115841;73094;58952;60674;444703
10-01-2015;129426;113353;70741;60099;56628;430242
11-01-2015;128007;109479;72449;60703;54069;424704
12-01-2015;142921;113422;76717;67141;57957;457952
13-01-2015;131976;111939;74298;67676;57792;443683
14-01-2015;137936;114091;73456;64159;55710;445351
15-01-2015;137551;113800;71657;64202;56520;443725
16-01-2015;127493;110945;69868;62626;59115;430045
17-01-2015;120778;109453;65384;59318;58830;413755
18-01-2015;123421;110736;65995;59824;58749;418722
19-01-2015;142504;121755;72987;66878;64541;468659
20-01-2015;143575;121087;73598;68164;65165;471586
21-01-2015;141120;122425;72261;68633;64616;469048
22-01-2015;146074;125913;75165;68884;66822;482854
23-01-2015;155776;125187;75382;68305;65602;490249
24-01-2015;133216;113567;69702;62983;60580;440044
25-01-2015;133355;112909;68177;59791;59184;433412
26-01-2015;136789;115627;69598;60375;60392;442783
27-01-2015;138016;117956;66884;57777;61648;442273
28-01-2015;132083;114049;65463;57253;58934;427775
29-01-2015;131051;114997;67967;60384;62202;436598
30-01-2015;133752;117012;68578;62523;58995;440856
31-01-2015;125236;113278;67072;60502;58250;424333
01-02-2015;128778;115958;68931;60430;58660;432747
02-02-2015;144951;125280;73671;65721;64271;473892
03-02-2015;147883;126325;74837;67714;65873;482624
04-02-2015;153196;129371;75051;68343;64983;490941
05-02-2015;159555;129854;71805;64969;66929;493108
06-02-2015;148935;123318;68572;60271;63802;464895
07-02-2015;130971;114133;69325;56219;59655;430297
08-02-2015;127786;113758;68359;58430;59990;428318
09-02-2015;129098;114173;68227;60466;60409;432367
10-02-2015;126982;111578;66837;59121;57128;421642
11-02-2015;129240;115369;66113;58988;58619;428323
12-02-2015;131970;115858;70650;61907;60067;440455
13-02-2015;131244;116520;71063;62705;60272;441799
14-02-2015;119362;109332;66326;61088;56933;413030
15-02-2015;121295;108193;65322;59052;56640;410497
16-02-2015;137231;116852;68205;61282;60274;443839
17-02-2015;132984;115404;68002;60440;61769;438597
18-02-2015;123512;109421;67613;54968;57303;412810
19-02-2015;117753;107679;64422;58003;55292;403144
20-02-2015;115465;108141;66192;57094;57684;404568
21-02-2015;113012;106883;65591;55151;56695;397325
22-02-2015;116258;106997;64459;55962;56923;400596
23-02-2015;130043;115453;69222;60508;59598;434817
24-02-2015;125244;115182;66574;59743;59711;426446
25-02-2015;119432;111997;68329;59288;58381;417413
26-02-2015;125038;118121;69776;58202;59711;430847
27-02-2015;122916;111322;67222;58147;58855;418460
28-02-2015;117402;106764;64314;53870;55487;397833
01-03-2015;115619;104706;62477;51908;54090;388794
02-03-2015;119275;109783;67395;55314;57420;409179
03-03-2015;120188;113672;69638;56191;58976;418659
04-03-2015;125547;114692;68708;57420;59527;425884
05-03-2015;127263;113653;70284;57581;59826;428592
06-03-2015;114580;108240;67077;55155;56875;401929
07-03-2015;103549;102352;62386;50628;54197;373107
08-03-2015;98280;97646;61462;49524;53202;360109
09-03-2015;112371;106813;68224;56505;58485;402389
10-03-2015;109362;107079;68088;56830;58122;399477
11-03-2015;108377;106241;66448;56031;57806;394983
12-03-2015;111856;106955;66571;56768;57398;399539
13-03-2015;113565;107108;63380;53028;56304;393382
14-03-2015;107209;102367;61891;50964;54947;377371
15-03-2015;104505;100780;60858;50989;54104;371237
16-03-2015;115312;106284;64669;53568;56397;396228
17-03-2015;112814;105204;64011;52456;55414;389903
18-03-2015;113378;103706;64224;55076;54939;391314
19-03-2015;115948;107604;66181;56785;56024;402547
20-03-2015;112932;105337;67556;59526;56933;402281
21-03-2015;108666;101369;64714;57182;54826;386746
22-03-2015;113265;105205;64601;55930;56611;395606
23-03-2015;114283;107085;64634;58539;55521;400062
24-03-2015;108000;105385;66261;58503;56628;394768
25-03-2015;117451;110992;65899;56460;57965;408764
26-03-2015;129678;116571;69287;58065;58731;432328
27-03-2015;120633;110663;67088;57980;57889;414248
28-03-2015;107797;105345;62224;51882;56021;383272
29-03-2015;97086;95810;58383;49038;51444;351761
30-03-2015;106994;104676;63359;54612;56080;385719
31-03-2015;108198;107926;64004;55962;56943;393033
01-04-2015;102461;105772;61395;53927;55565;379123
02-04-2015;93364;99791;58809;51810;50631;354403
03-04-2015;92582;98160;58110;51788;52444;353087
04-04-2015;92152;97852;56903;50792;53808;351504
05-04-2015;93720;98491;58284;50133;54144;354771
06-04-2015;94580;98839;57166;50799;54263;355646
07-04-2015;95836;99874;59572;53130;53421;361828
08-04-2015;93684;97318;64652;55616;52104;363370
09-04-2015;95823;99776;65148;55501;53458;369702
10-04-2015;91539;97451;63992;54199;45372;352546
11-04-2015;88913;92521;59722;51492;41974;334615
12-04-2015;84232;91550;59688;51320;42456;329241
13-04-2015;96823;99175;66860;54828;46135;363811
14-04-2015;103840;101610;66148;53729;47241;372569
15-04-2015;101309;99280;63921;52478;44721;361704
16-04-2015;98369;98034;65714;52542;45065;359720
17-04-2015;96429;98232;63612;52310;44841;355420
18-04-2015;88021;90562;59566;49460;42229;329831
19-04-2015;80271;85940;56815;49403;40521;312943
20-04-2015;83147;89155;61125;52270;40930;326618
21-04-2015;81946;90682;59907;51700;41679;325906
22-04-2015;81554;88475;61817;52859;42809;327513
23-04-2015;82410;86533;64302;52538;42131;327911
24-04-2015;87566;91808;65195;52365;45121;342046
25-04-2015;84682;88803;61114;50137;44040;328769
26-04-2015;79637;88092;58439;50362;43176;319701
27-04-2015;93432;98160;61645;53764;45615;352613
28-04-2015;92923;98368;60381;54451;45554;351668
29-04-2015;93439;96263;61697;53883;45814;351094
30-04-2015;93267;96597;60752;52721;49574;352903
01-05-2015;82275;90553;57016;48992;47768;326603
02-05-2015;79803;89933;59341;48493;46290;323857
03-05-2015;78883;85927;59124;48880;45055;317862
04-05-2015;94995;94652;61758;50122;47376;348901
05-05-2015;94300;92646;58418;48780;45136;339277
06-05-2015;85246;88170;56251;46771;43972;320407
07-05-2015;87429;91669;56487;47544;46504;329624
08-05-2015;86562;93720;58427;46354;45802;330863
09-05-2015;80575;93833;56993;45045;46283;322719
10-05-2015;78214;88493;55890;45623;45016;313226
11-05-2015;89059;93334;59084;49484;46986;337947
12-05-2015;86724;92381;58195;48957;46111;332366
13-05-2015;84876;90613;58147;47883;46242;327756
14-05-2015;76207;86302;58807;47701;43752;312768
15-05-2015;80852;89455;59157;50445;45473;325377
16-05-2015;79141;85959;55443;47651;44532;312719
17-05-2015;79266;84331;50895;45699;43997;304188
18-05-2015;87305;93362;53150;48985;46514;329306
19-05-2015;88992;93843;52064;48128;46197;329215
20-05-2015;86415;92161;52556;47861;45308;324293
21-05-2015;85074;93566;51189;47676;46303;323807
22-05-2015;83549;92063;51311;46677;47242;320839
23-05-2015;71494;83925;51245;44545;44661;295865
24-05-2015;72171;85538;50227;44895;45434;298256
25-05-2015;72769;85370;49960;45998;44374;298470
26-05-2015;83071;88845;53629;47950;44651;318137
27-05-2015;80873;87658;54474;45788;44780;313572
28-05-2015;85964;90491;54952;46039;44518;321957
