;NO1;NO2;NO3;NO4;NO5;NO
21-04-2014;78312;81215;47657;48690;42772;298576
22-04-2014;81061;84517;54872;53633;43346;317429
23-04-2014;78635;84965;56704;53367;43127;316793
24-04-2014;83695;92009;53879;53236;44397;327210
25-04-2014;84876;91184;55064;51818;44928;327866
26-04-2014;74235;83817;52641;48653;40409;299753
27-04-2014;69215;79127;51180;48371;38323;286214
28-04-2014;77895;85647;57009;52676;40271;313495
29-04-2014;82676;86007;59900;52108;41970;322653
30-04-2014;87952;87173;60747;53182;44778;333832
01-05-2014;83306;86302;55959;49534;45554;320652
02-05-2014;85656;87568;60992;50607;45489;330314
03-05-2014;82239;86583;59048;45753;45079;318701
04-05-2014;81832;85753;56255;44522;44519;312879
05-05-2014;92783;93643;60239;47385;46220;340265
06-05-2014;96669;95284;57953;44796;45354;340055
07-05-2014;102826;94485;57482;45180;45301;345265
08-05-2014;104151;95453;57962;44892;46195;348649
09-05-2014;97902;93478;56959;43880;46269;338482
10-05-2014;86905;85153;50289;40016;42776;305134
11-05-2014;83814;79570;46952;40392;40487;290194
12-05-2014;92662;88350;52689;45466;42357;321520
13-05-2014;89147;90064;56853;46186;44153;326398
14-05-2014;87999;89991;59035;47604;43242;327869
15-05-2014;87575;91035;59230;47069;44318;329225
16-05-2014;80697;86407;55524;44485;43745;310852
17-05-2014;65722;77556;48177;39516;39776;270742
18-05-2014;65416;77011;50039;40127;38227;270820
19-05-2014;72837;83598;53034;40395;39854;289712
20-05-2014;73674;83429;52737;40301;40512;290649
21-05-2014;74024;82921;51079;41503;37981;287503
22-05-2014;73804;82247;49901;42880;38881;287714
23-05-2014;70877;82475;48955;41359;41263;284930
24-05-2014;62898;77665;47225;38818;40264;266867
25-05-2014;63181;77070;46358;38744;40562;265915
26-05-2014;71801;81930;51765;42980;43460;291923
27-05-2014;71549;80128;49803;40631;43368;285470
28-05-2014;71392;80467;48853;39466;41950;282126
29-05-2014;63965;77205;47753;37109;40101;266131
30-05-2014;66604;79330;52197;37269;40716;276108
31-05-2014;60158;76327;51465;37684;38083;263713
01-06-2014;58881;74927;50903;37670;37270;259650
02-06-2014;69694;80626;51423;39038;40405;281176
03-06-2014;70385;77571;50400;36761;39538;274649
04-06-2014;70533;80550;50199;35477;36719;273479
05-06-2014;71482;81043;50770;35803;36644;275737
06-06-2014;68934;79395;49958;36060;38983;273320
07-06-2014;60657;74166;45970;35395;38210;254390
08-06-2014;56912;71842;43833;34896;37228;244707
09-06-2014;59629;73517;45600;37051;36679;252468
10-06-2014;69109;79321;49483;42047;37916;277870
11-06-2014;68423;78770;51793;42061;38827;279871
12-06-2014;67476;80232;51437;43050;39305;281497
13-06-2014;69028;79614;52931;43182;38768;283514
14-06-2014;61456;75192;49177;41272;37674;264764
15-06-2014;60035;74135;48997;42017;36644;261823
16-06-2014;69189;80996;54034;46130;39043;289385
17-06-2014;69819;80773;54813;47130;39052;291578
18-06-2014;69140;80793;54571;45909;38943;289352
19-06-2014;68798;79537;51784;46822;38322;285255
20-06-2014;66463;80692;53218;46080;39864;286312
21-06-2014;60962;76953;52247;43886;38731;272776
22-06-2014;61076;74844;49775;43343;37978;267008
23-06-2014;70465;80766;53345;46047;40158;290771
24-06-2014;69099;82118;53061;43603;40009;287880
25-06-2014;70171;81477;52328;45237;39488;288688
26-06-2014;69933;81309;52050;45009;39572;287870
27-06-2014;69249;81243;50225;43737;39671;284121
28-06-2014;62263;74715;47937;40806;38230;263949
29-06-2014;60580;73679;46926;39635;36922;257740
30-06-2014;69329;80101;50466;43429;39709;283032
01-07-2014;67459;80157;49377;42840;38824;278655
02-07-2014;64609;79192;49515;42985;39073;275364
03-07-2014;63479;79854;49829;42684;37819;273663
04-07-2014;63069;78222;48906;41791;38613;270592
05-07-2014;55649;75038;45568;38802;35392;250442
06-07-2014;52828;74504;44887;37031;34299;243547
07-07-2014;62157;77156;50237;38657;37403;265606
08-07-2014;61567;78623;48973;37388;37293;263829
09-07-2014;61193;74332;48715;37446;37067;258749
10-07-2014;61510;75628;48501;37215;36538;259388
11-07-2014;59769;74316;46986;37661;36521;255252
12-07-2014;53053;69774;45508;37499;34853;240679
13-07-2014;51521;69810;43258;36480;33224;234288
14-07-2014;58893;73740;47601;38417;36575;255226
15-07-2014;59480;72704;47147;37974;36324;253623
16-07-2014;58168;73315;47592;38860;36189;254124
17-07-2014;59210;74191;47597;39386;37358;257741
18-07-2014;58230;75107;47799;39126;36447;256706
19-07-2014;51533;69366;45347;37305;35232;238777
20-07-2014;49542;67743;44033;36286;34129;231730
21-07-2014;57748;71935;46168;37329;36615;249790
22-07-2014;59430;72482;46506;37608;36083;252101
23-07-2014;59317;72775;45963;37821;36190;252057
24-07-2014;59296;71131;45753;38672;35509;250358
25-07-2014;58203;72117;46130;38898;37538;252885
26-07-2014;53462;68979;45487;37956;35637;241516
27-07-2014;52711;67389;44032;37096;34455;235677
28-07-2014;59096;72996;46673;40915;35676;255350
29-07-2014;59901;71846;47716;41121;35784;256362
30-07-2014;59067;73285;47584;41126;36293;257348
31-07-2014;59122;72904;47723;39807;35279;254840
01-08-2014;59230;73143;48349;38996;35925;255635
02-08-2014;53903;69668;46434;36789;35288;242076
03-08-2014;54157;68322;45230;36309;33680;237699
04-08-2014;62536;72571;48768;40008;35210;259090
05-08-2014;59703;75690;48342;39406;36779;259910
06-08-2014;62870;75226;48875;40616;37150;264727
07-08-2014;63136;75344;47699;40402;38964;265539
08-08-2014;61967;75202;48644;39575;36860;262240
09-08-2014;55175;70576;46337;38395;35888;246365
10-08-2014;54740;67874;46181;37988;34395;241174
11-08-2014;65533;75318;50573;41141;35761;268321
12-08-2014;64730;77553;52038;41118;35959;271393
13-08-2014;64405;79772;51656;41649;36929;274399
14-08-2014;67284;79420;51882;42392;36262;277234
15-08-2014;66921;78151;51710;42221;35200;274197
16-08-2014;60144;74747;50208;41069;32912;259070
17-08-2014;60147;74949;50165;41056;32847;259159
18-08-2014;68347;79473;54150;43993;35174;281131
19-08-2014;69648;80673;52762;43144;35265;281485
20-08-2014;69924;80993;53234;43005;35059;282215
21-08-2014;70610;80377;54844;43961;34176;283962
22-08-2014;69150;79821;54564;44123;35243;282905
23-08-2014;62606;76385;52247;41859;33641;266733
24-08-2014;61597;75470;50642;41465;33835;263008
25-08-2014;70661;81243;53945;44674;35037;285556
26-08-2014;71668;80176;54412;44009;35636;285893
27-08-2014;71342;80351;55642;44602;34785;286716
28-08-2014;70743;78595;54813;45010;34548;283704
29-08-2014;69480;78306;55320;44173;35080;282351
30-08-2014;64508;75332;51419;41089;33784;266128
31-08-2014;63596;72290;51090;41056;33558;261581
01-09-2014;72851;78422;54231;45107;36135;286739
02-09-2014;71915;79128;54929;44597;35601;286162
03-09-2014;69248;77976;54837;44279;37893;284230
04-09-2014;69807;78028;55808;43575;38006;285226
05-09-2014;68713;78348;53059;43734;40080;283935
06-09-2014;61879;74862;49898;42191;37552;266377
07-09-2014;58784;71880;49252;42227;36730;258866
08-09-2014;68654;81346;53332;44828;38618;286773
09-09-2014;70360;81870;53311;45327;38954;289815
10-09-2014;68426;79932;52885;44540;39360;285137
11-09-2014;71529;80586;53933;44581;38172;288791
12-09-2014;71799;82298;52113;44512;37669;288381
13-09-2014;64943;76855;49312;42576;35908;269597
14-09-2014;63570;75079;48035;43088;35645;265419
15-09-2014;72491;81187;52836;46158;38272;290936
16-09-2014;72812;83254;53133;46446;37943;293582
17-09-2014;72971;84222;53472;47564;38370;296591
18-09-2014;75833;85353;53833;46882;39219;301117
19-09-2014;75475;84062;54143;46611;40016;300299
20-09-2014;69098;79014;52111;44874;37997;283084
21-09-2014;67995;76530;51259;44779;36728;277282
22-09-2014;82237;82564;58217;49838;40948;313808
23-09-2014;88180;90328;61531;49959;40149;330140
24-09-2014;87065;89419;60400;50690;41501;329068
25-09-2014;83869;88630;59551;51443;43640;327129
26-09-2014;81405;84189;59093;48585;42821;316088
27-09-2014;71751;81331;55833;46082;42341;297332
28-09-2014;68270;79143;53124;44992;39883;285406
29-09-2014;77164;84820;59470;48695;43112;313258
30-09-2014;82345;84980;59983;48649;44576;320530
01-10-2014;85423;86384;56737;49157;46505;324203
02-10-2014;80136;86458;57999;47966;45809;318366
03-10-2014;81389;89788;56984;47652;47206;323016
04-10-2014;71683;81944;52604;46175;41982;294384
05-10-2014;69589;82207;52321;44387;41650;290152
06-10-2014;83330;86050;55223;47248;44838;316688
07-10-2014;92497;89799;57628;48694;46204;334815
08-10-2014;87174;89558;57551;50842;48030;333150
09-10-2014;87554;88735;58646;51767;47174;333875
10-10-2014;84278;83765;58476;52253;45297;324062
11-10-2014;79976;88917;55140;50724;44977;319728
12-10-2014;75799;88623;54701;50678;45604;315404
13-10-2014;92011;93634;58155;54317;48071;346187
14-10-2014;93630;97331;58833;53446;48595;351830
15-10-2014;93839;96243;58866;53633;49857;352429
16-10-2014;105880;99090;60914;54756;51059;371694
17-10-2014;106975;101817;62080;53892;51716;376474
18-10-2014;94470;92895;59501;51526;48881;347268
19-10-2014;80585;83541;55395;50935;42379;313109
20-10-2014;86554;90440;60414;55423;44779;337606
21-10-2014;92186;95855;61485;55841;48753;354119
22-10-2014;98988;95911;62514;57350;49522;364274
23-10-2014;104279;97174;61166;57499;50383;370493
24-10-2014;94224;93884;59414;54499;48633;350648
25-10-2014;83262;88528;58131;49284;47146;326352
26-10-2014;85059;88430;59996;50266;47881;331630
27-10-2014;87296;91226;60653;51591;48797;339563
28-10-2014;86888;93333;61406;52037;49103;342760
29-10-2014;91314;92537;60473;51547;50329;346200
30-10-2014;104367;101299;64128;52689;53396;375872
31-10-2014;109087;100136;65142;54650;53002;382015
01-11-2014;93990;92025;58969;52693;45878;343550
02-11-2014;84051;88648;57854;50765;42693;324005
03-11-2014;92005;95593;61068;52878;49209;350745
04-11-2014;97634;99016;64161;56475;52748;370030
05-11-2014;108023;104256;67723;59830;54303;394133
06-11-2014;114931;106548;68258;59118;54324;403176
07-11-2014;120544;108362;67726;60148;55383;412160
08-11-2014;104360;96152;62450;54993;51657;369602
09-11-2014;93243;90837;60350;53712;48297;346438
10-11-2014;103340;97216;62177;57582;50742;371052
11-11-2014;103273;100427;64124;57502;53185;378505
12-11-2014;106200;101132;65232;60540;54363;387456
13-11-2014;108857;100757;64680;61749;52684;388729
14-11-2014;107353;100081;63463;60746;51601;383134
15-11-2014;98116;94890;61901;57170;49600;361681
16-11-2014;99985;94348;61662;56340;50059;362386
17-11-2014;113215;104585;66353;59688;54123;397957
18-11-2014;114172;106761;68501;58563;55321;403608
19-11-2014;115461;106592;70063;57976;55122;405199
20-11-2014;119861;110078;68359;58395;55763;412346
21-11-2014;120501;109210;69983;57205;56405;413297
22-11-2014;111889;103706;68649;54419;54391;393459
23-11-2014;106271;96552;65163;55331;52593;375888
24-11-2014;112331;100131;66930;59297;53963;392652
25-11-2014;120207;105489;66470;58675;52318;402909
26-11-2014;127241;106174;71229;54154;54398;413183
27-11-2014;129694;107387;71617;56312;54234;419188
28-11-2014;127534;107696;72096;56900;54313;418434
29-11-2014;118364;103234;69093;55396;53366;399446
30-11-2014;115383;101148;68552;56104;52453;393640
01-12-2014;126433;108870;71222;62208;55949;424670
02-12-2014;130651;109981;68360;60529;60812;430328
03-12-2014;132509;111478;66559;59184;57763;427488
04-12-2014;131364;110380;65390;58262;55293;420690
05-12-2014;126411;110324;66758;56477;57772;417738
06-12-2014;120659;107583;66361;55134;57131;406860
07-12-2014;113516;100531;64567;55583;54106;388296
08-12-2014;127250;113673;70797;57347;60591;429657
09-12-2014;138263;116986;71298;58849;61017;446410
10-12-2014;125123;112177;70989;58274;58414;424970
11-12-2014;125734;112964;69421;58738;60760;427618
12-12-2014;126316;111850;70772;59854;60316;429100
13-12-2014;120959;109117;69134;58216;58759;416184
14-12-2014;121195;105355;68269;57962;57013;409790
15-12-2014;123285;109313;70317;61252;58041;422203
16-12-2014;131562;114795;74276;61823;61940;444387
17-12-2014;142437;116695;75540;61845;62252;458769
18-12-2014;137845;111011;72901;63640;59849;445241
19-12-2014;131745;110732;72247;62230;58036;434988
20-12-2014;126972;109027;66816;59666;57999;420482
21-12-2014;126891;106626;65946;59769;57807;417030
22-12-2014;130168;107747;67573;64522;57263;427267
23-12-2014;131728;108894;66362;64455;58342;429765
24-12-2014;131644;110504;68590;63332;58621;432686
25-12-2014;141945;114486;69551;60432;60826;447235
26-12-2014;149936;120022;67352;61130;62639;461079
27-12-2014;150277;121771;72256;61265;61371;466936
28-12-2014;149251;123775;70422;61893;64278;469610
29-12-2014;151905;125358;69225;62193;64492;473175
30-12-2014;144189;118923;64892;57772;60333;446102
31-12-2014;129507;110028;60195;54699;56281;410704
