;NO1;NO2;NO3;NO4;NO5;NO
01-01-2014;103675;98746;57968;54973;51074;366427
02-01-2014;116458;107068;63853;58572;53967;399918
03-01-2014;115409;103684;64970;56813;53967;394838
04-01-2014;105902;99086;62064;54931;51429;373405
05-01-2014;104468;97992;60276;55504;51007;369245
06-01-2014;119604;106867;66217;56588;54643;403916
07-01-2014;113273;102336;64482;57076;53013;390178
08-01-2014;113125;103900;64448;59377;51604;392452
09-01-2014;120949;109018;66903;61694;54785;413342
10-01-2014;125616;111435;70098;65488;56910;429543
11-01-2014;124996;105411;72991;62865;56410;422670
12-01-2014;135894;109297;74146;64228;58518;442077
13-01-2014;161938;127080;81011;68051;64842;502913
14-01-2014;156502;129029;79391;68333;63993;497240
15-01-2014;154491;123362;78994;67303;64191;488335
16-01-2014;153263;123706;78578;67201;61814;484556
17-01-2014;153411;125301;78043;68051;61651;486450
18-01-2014;144955;120941;75072;65560;59761;466279
19-01-2014;139130;118807;72836;64209;58759;453734
20-01-2014;152021;126349;76633;68833;62098;485931
21-01-2014;154677;126079;77988;67983;62735;489459
22-01-2014;159142;129096;77930;68107;63283;497550
23-01-2014;158433;128711;77785;68139;62892;495954
24-01-2014;156961;128014;76401;66065;62419;489866
25-01-2014;145421;122337;73209;62210;60323;463497
26-01-2014;142806;120111;70479;61755;58522;453660
27-01-2014;152633;127466;77432;67354;61831;486716
28-01-2014;146175;124962;74416;66212;60541;472297
29-01-2014;145554;125369;74908;64748;61226;471806
30-01-2014;153667;128220;77663;65053;63596;488194
31-01-2014;149267;125553;75765;65054;61566;477196
01-02-2014;137928;119949;71593;62458;57733;449662
02-02-2014;125039;110443;65568;58786;55237;415070
03-02-2014;129152;113491;67785;62311;56201;428934
04-02-2014;131675;115677;68743;60045;56932;433068
05-02-2014;131004;116354;67795;61074;55537;431760
06-02-2014;134374;116403;70446;62426;52757;436406
07-02-2014;129649;113053;68174;60950;56084;427900
08-02-2014;118994;107276;63614;56945;53623;400446
09-02-2014;116220;105326;62132;54784;52435;390891
10-02-2014;124887;109807;67112;57621;55842;415263
11-02-2014;126079;111214;67124;57673;55942;418027
12-02-2014;125829;113550;67761;58992;55586;421715
13-02-2014;128088;114541;68509;59680;56427;427237
14-02-2014;126464;111066;66923;58453;55211;418112
15-02-2014;118726;107532;64324;55592;53024;399187
16-02-2014;112155;102879;62607;55430;51333;384399
17-02-2014;124009;110403;67362;58550;55474;415790
18-02-2014;131316;116207;68824;59856;57810;434008
19-02-2014;135292;118824;69269;60539;58887;442808
20-02-2014;136390;120625;72396;61636;60539;451585
21-02-2014;130502;114301;69158;62545;59105;435610
22-02-2014;115764;105879;64663;56992;55322;398612
23-02-2014;111956;103543;62581;54939;51980;384988
24-02-2014;117868;106891;64768;56436;52803;398761
25-02-2014;114396;106049;64639;55670;54567;395311
26-02-2014;118955;108707;63797;55919;55526;402901
27-02-2014;118032;108178;65757;56738;56248;404951
28-02-2014;118893;109745;65248;56267;56036;406188
01-03-2014;113779;105559;61777;54472;54253;389838
02-03-2014;113203;105836;61638;54125;54075;388873
03-03-2014;122664;109883;64235;57940;55490;410206
04-03-2014;121391;110128;61181;58363;54823;405882
05-03-2014;120221;110880;61650;58328;56016;407085
06-03-2014;117996;108410;61590;56777;54803;399575
07-03-2014;115821;107408;62303;55681;54139;395345
08-03-2014;106365;101978;60712;54520;52952;376527
09-03-2014;100060;98668;58894;53503;49490;360607
10-03-2014;110223;103770;63589;56379;53679;387633
11-03-2014;110634;106615;64306;56383;54457;392387
12-03-2014;107441;104512;61620;56140;55417;385124
13-03-2014;109197;104741;63900;55608;56273;389715
14-03-2014;110982;106585;65220;55706;55798;394291
15-03-2014;101541;101488;64956;54314;53734;376026
16-03-2014;103284;99007;64231;55491;53904;375912
17-03-2014;111038;104956;66756;60910;57042;400695
18-03-2014;113730;106303;68557;62824;56889;408293
19-03-2014;120148;106075;69953;62529;57522;416226
20-03-2014;116005;105035;67208;63037;54677;405955
21-03-2014;104718;102429;64768;60598;54258;386765
22-03-2014;102388;102116;61322;55892;53382;375099
23-03-2014;100669;99128;60955;53897;53290;367938
24-03-2014;110058;105902;63275;56325;56022;391579
25-03-2014;110028;102807;63493;55861;54163;386337
26-03-2014;115401;107573;64265;55066;54413;396714
27-03-2014;110654;106275;64790;54337;53083;389129
28-03-2014;99750;97634;62765;53074;50459;363674
29-03-2014;91793;90962;59012;51496;47328;340592
30-03-2014;84998;86420;56053;50023;43967;321453
31-03-2014;97894;97160;63954;55170;51086;365261
01-04-2014;102296;97450;64145;55235;51235;370354
02-04-2014;102906;98935;65174;56263;50498;373772
03-04-2014;100710;98775;64165;56472;50480;370593
04-04-2014;100370;98658;63054;56050;49280;367412
05-04-2014;99613;98072;60484;53096;48404;359660
06-04-2014;96189;93544;58089;52050;45912;345780
07-04-2014;97650;93016;59806;55337;44246;350049
08-04-2014;100183;93376;59598;54779;45258;353183
09-04-2014;108441;98368;61017;55137;45947;368900
10-04-2014;111218;102000;61591;52994;48438;376233
11-04-2014;100476;96843;63192;52554;48841;361898
12-04-2014;96917;94961;59986;50145;48607;350611
13-04-2014;88353;91813;59950;48838;46711;335659
14-04-2014;94646;96284;64203;51831;51337;358299
15-04-2014;94488;96517;64014;53257;50469;358742
16-04-2014;93996;94207;58833;51786;50576;349392
17-04-2014;91371;92977;53551;49046;48489;335431
18-04-2014;84030;88027;52657;49335;47674;321718
19-04-2014;79613;85757;52515;48568;46006;312451
20-04-2014;75554;82068;49101;47143;43723;297582
