;NO;SE;FI
01ÿ-ÿ18;51959;17222;3415
02ÿ-ÿ17;50102;16533;3328
03ÿ-ÿ17;48484;15735;3213
04ÿ-ÿ17;46780;15049;3073
05ÿ-ÿ17;44240;14159;2929
06ÿ-ÿ17;41458;13006;2765
07ÿ-ÿ17;39043;12132;2657
08ÿ-ÿ17;37381;11406;2574
09ÿ-ÿ17;35222;10534;2457
10ÿ-ÿ17;32716;9540;2327
11ÿ-ÿ17;31142;8862;2246
12ÿ-ÿ17;29456;8156;2127
13ÿ-ÿ17;28601;7636;2040
14ÿ-ÿ17;28251;7398;1992
15ÿ-ÿ17;27589;7203;1989
16ÿ-ÿ17;26148;6838;1952
17ÿ-ÿ17;24236;6373;1956
18ÿ-ÿ17;23543;6615;2092
19ÿ-ÿ17;23183;6873;2184
20ÿ-ÿ17;28682;8474;2402
21ÿ-ÿ17;33857;11123;3033
22ÿ-ÿ17;37965;12696;3432
23ÿ-ÿ17;44950;15186;3707
24ÿ-ÿ17;50159;18185;3834
25ÿ-ÿ17;53631;20285;3911
26ÿ-ÿ17;55720;21751;3948
27ÿ-ÿ17;56950;22576;3906
28ÿ-ÿ17;58713;24418;3970
29ÿ-ÿ17;60102;25453;4012
30ÿ-ÿ17;61742;26000;3977
31ÿ-ÿ17;64004;26679;3981
32ÿ-ÿ17;65357;26900;3990
33ÿ-ÿ17;66620;27290;3955
34ÿ-ÿ17;66678;27381;3897
35ÿ-ÿ17;66334;27241;3915
36ÿ-ÿ17;66891;26887;3878
37ÿ-ÿ17;68380;27346;4038
38ÿ-ÿ17;68189;27182;4048
39ÿ-ÿ17;68088;26797;3997
40ÿ-ÿ17;70394;27180;3982
41ÿ-ÿ17;70449;27269;3991
42ÿ-ÿ17;70854;27470;4013
43ÿ-ÿ17;71179;27397;4007
44ÿ-ÿ17;70968;27244;3953
45ÿ-ÿ17;69864;26901;4030
46ÿ-ÿ17;68313;26302;4079
47ÿ-ÿ17;67072;25651;4077
48ÿ-ÿ17;64762;24901;4072
49ÿ-ÿ17;64229;24360;4079
50ÿ-ÿ17;61616;23368;4060
51ÿ-ÿ17;60398;22745;4042
52ÿ-ÿ17;59449;22188;4039
