;NO;SE;FI
02ÿ-ÿ13;54099;20521;3793
03ÿ-ÿ13;51059;19122;3621
04ÿ-ÿ13;48117;17706;3471
05ÿ-ÿ13;45906;16650;3393
06ÿ-ÿ13;43302;15356;3202
07ÿ-ÿ13;40547;13984;3005
08ÿ-ÿ13;37880;12727;2807
09ÿ-ÿ13;35701;11612;2611
10ÿ-ÿ13;33484;10479;2406
11ÿ-ÿ13;30839;9228;2205
12ÿ-ÿ13;28277;8084;2025
13ÿ-ÿ13;26050;7114;1878
14ÿ-ÿ13;23848;6287;1726
15ÿ-ÿ13;21647;5445;1597
16ÿ-ÿ13;21808;5388;1783
17ÿ-ÿ13;21285;5664;2194
18ÿ-ÿ13;20539;5846;2707
19ÿ-ÿ13;23140;7042;3215
20ÿ-ÿ13;28729;10065;3618
21ÿ-ÿ13;36941;14729;3740
22ÿ-ÿ13;43536;17216;3769
23ÿ-ÿ13;47075;19080;3765
24ÿ-ÿ13;49882;20101;3770
25ÿ-ÿ13;52909;21019;3805
26ÿ-ÿ13;56244;22159;3787
27ÿ-ÿ13;57988;22969;3797
28ÿ-ÿ13;59051;23229;3719
29ÿ-ÿ13;60313;23673;3732
30ÿ-ÿ13;60197;23751;3680
31ÿ-ÿ13;60812;24256;3620
32ÿ-ÿ13;62288;24310;3563
33ÿ-ÿ13;63137;24449;3561
34ÿ-ÿ13;63967;24425;3485
35ÿ-ÿ13;63460;24258;3392
36ÿ-ÿ13;63358;24087;3312
37ÿ-ÿ13;62789;23560;3205
38ÿ-ÿ13;63840;24461;3158
39ÿ-ÿ13;62964;24515;3079
40ÿ-ÿ13;61854;24284;3024
41ÿ-ÿ13;62577;24280;3029
42ÿ-ÿ13;61276;23748;2939
43ÿ-ÿ13;62601;23630;2993
44ÿ-ÿ13;63217;24073;3095
45ÿ-ÿ13;62390;23948;3233
46ÿ-ÿ13;61984;23767;3328
47ÿ-ÿ13;60716;23390;3441
48ÿ-ÿ13;59336;23142;3493
49ÿ-ÿ13;57989;22689;3486
50ÿ-ÿ13;57168;22595;3468
51ÿ-ÿ13;56427;22417;3478
52ÿ-ÿ13;56057;22406;3617
01ÿ-ÿ14;55198;21981;3724
