;NO;SE;FI
02?-?18;54521;20281;3903
03?-?18;51801;19159;3772
04?-?18;49476;18222;3660
05?-?18;46858;17152;3501
06?-?18;43915;15843;3322
07?-?18;41079;14554;3143
08?-?18;37892;13221;2946
09?-?18;34662;11769;2735
10?-?18;31734;10493;2551
11?-?18;29092;9294;2382
12?-?18;26681;8229;2207
13?-?18;24347;7181;2020
14?-?18;22328;6380;1908
15?-?18;20658;5705;1807
16?-?18;21220;5672;1843
17?-?18;22371;6763;1979
18?-?18;23142;8490;2421
19?-?18;31190;13115;3243
20?-?18;37027;17462;3827
21?-?18;40774;19281;3929
22?-?18;44964;20367;3905
23?-?18;46690;20494;3875
24?-?18;48731;20739;3843
25?-?18;50420;21620;3874
26?-?18;50709;21680;3875
27?-?18;50465;21524;3860
28?-?18;49974;21349;3794
29?-?18;49632;21356;3706
30?-?18;49371;21390;3638
31?-?18;50038;21523;3563
32?-?18;51448;21708;3481
33?-?18;53168;21911;3427
34?-?18;54189;22126;3386
35?-?18;53841;21985;3340
36?-?18;53837;21552;3264
37?-?18;57134;21442;3281
38?-?18;60389;21938;3293
39?-?18;62837;22871;3295
40?-?18;63149;23176;3254
41?-?18;65295;23564;3263
42?-?18;66608;23965;3267
43?-?18;66757;23955;3268
44?-?18;65541;23740;3239
45?-?18;64879;23525;3250
46?-?18;65220;23795;3276
47?-?18;63031;23080;3182
48?-?18;61132;22211;3131
49?-?18;59451;21649;3100
50?-?18;56906;20619;3000
51?-?18;54034;19461;2880

