;NO;SE;FI
02ÿ-ÿ15;53780;19180;3406
03ÿ-ÿ15;51907;18458;3324
04ÿ-ÿ15;49084;17283;3209
05ÿ-ÿ15;46803;16448;3127
06ÿ-ÿ15;44087;15350;2986
07ÿ-ÿ15;42114;14769;2818
08ÿ-ÿ15;40447;13946;2664
09ÿ-ÿ15;38639;13062;2543
10ÿ-ÿ15;36967;12118;2433
11ÿ-ÿ15;35389;11178;2344
12ÿ-ÿ15;33219;10133;2241
13ÿ-ÿ15;31043;9256;2141
14ÿ-ÿ15;29108;8432;2065
15ÿ-ÿ15;27718;7944;2044
16ÿ-ÿ15;26492;7650;2138
17ÿ-ÿ15;26026;7991;2328
18ÿ-ÿ15;24829;8165;2539
19ÿ-ÿ15;25457;9568;3010
20ÿ-ÿ15;27086;11564;3929
21ÿ-ÿ15;27913;13216;4227
22ÿ-ÿ15;29475;15687;4378
23ÿ-ÿ15;32335;18867;4441
24ÿ-ÿ15;35345;20434;4439
25ÿ-ÿ15;37853;21232;4472
26ÿ-ÿ15;41611;23010;4512
27ÿ-ÿ15;47242;24601;4505
28ÿ-ÿ15;54074;26647;4464
29ÿ-ÿ15;57693;27690;4375
30ÿ-ÿ15;60958;28659;4359
31ÿ-ÿ15;63654;30191;4453
32ÿ-ÿ15;66488;30449;4437
33ÿ-ÿ15;68749;30435;4382
34ÿ-ÿ15;70520;30033;4228
35ÿ-ÿ15;73339;30003;4152
36ÿ-ÿ15;74646;29785;4082
37ÿ-ÿ15;74047;29093;4020
38ÿ-ÿ15;75719;29515;4031
39ÿ-ÿ15;76036;30044;4132
40ÿ-ÿ15;76191;30694;4115
41ÿ-ÿ15;75205;30341;4049
42ÿ-ÿ15;73925;29741;3979
43ÿ-ÿ15;73489;29323;3968
44ÿ-ÿ15;72651;28725;3952
45ÿ-ÿ15;72148;28638;3926
46ÿ-ÿ15;72314;28218;3954
47ÿ-ÿ15;70592;27372;3948
48ÿ-ÿ15;69397;26620;3955
49ÿ-ÿ15;69670;26130;4022
50ÿ-ÿ15;69344;25381;4086
51ÿ-ÿ15;68811;24619;4148
52ÿ-ÿ15;69372;24625;4236
53ÿ-ÿ15;67816;23841;4215
