;NO;SE;FI
01ÿ-ÿ17;64848;22522;4110
02ÿ-ÿ16;61654;21203;3996
03ÿ-ÿ16;58235;19811;3840
04ÿ-ÿ16;56990;18956;3746
05ÿ-ÿ16;55266;17939;3598
06ÿ-ÿ16;52814;16813;3518
07ÿ-ÿ16;50239;15513;3360
08ÿ-ÿ16;47424;14183;3171
09ÿ-ÿ16;44505;12875;2964
10ÿ-ÿ16;41456;11665;2784
11ÿ-ÿ16;39364;10836;2601
12ÿ-ÿ16;37478;10001;2439
13ÿ-ÿ16;35976;9326;2332
14ÿ-ÿ16;34504;8976;2350
15ÿ-ÿ16;32801;8566;2433
16ÿ-ÿ16;31593;8241;2589
17ÿ-ÿ16;29923;8180;2971
18ÿ-ÿ16;30014;9424;3608
19ÿ-ÿ16;32136;11416;4024
20ÿ-ÿ16;33688;12671;4174
21ÿ-ÿ16;38549;15548;4228
22ÿ-ÿ16;45833;17763;4189
23ÿ-ÿ16;49092;18310;4182
24ÿ-ÿ16;51242;18748;4236
25ÿ-ÿ16;54369;19417;4254
26ÿ-ÿ16;58018;20321;4217
27ÿ-ÿ16;59329;20916;4317
28ÿ-ÿ16;60932;21301;4350
29ÿ-ÿ16;62061;21271;4314
30ÿ-ÿ16;63807;21423;4317
31ÿ-ÿ16;64991;21880;4385
32ÿ-ÿ16;66996;22403;4343
33ÿ-ÿ16;67029;22456;4326
34ÿ-ÿ16;67724;22647;4323
35ÿ-ÿ16;68720;23003;4323
36ÿ-ÿ16;69235;23302;4255
37ÿ-ÿ16;69411;23383;4194
38ÿ-ÿ16;68544;23086;4081
39ÿ-ÿ16;70814;23251;4068
40ÿ-ÿ16;70102;22990;3981
41ÿ-ÿ16;68334;22360;3870
42ÿ-ÿ16;66485;21783;3799
43ÿ-ÿ16;65043;21278;3771
44ÿ-ÿ16;63471;20689;3716
45ÿ-ÿ16;60755;19716;3615
46ÿ-ÿ16;59577;19390;3591
47ÿ-ÿ16;58649;19180;3650
48ÿ-ÿ16;56891;18694;3649
49ÿ-ÿ16;56649;18459;3614
50ÿ-ÿ16;54457;17749;3516
51ÿ-ÿ16;53687;17801;3501
52ÿ-ÿ16;53987;17924;3511
