;NO;SE;FI
02ÿ-ÿ19;52663;17301;2667
03ÿ-ÿ19;50080;16239;2571
04ÿ-ÿ19;46952;15003;2413
05ÿ-ÿ19;43945;13793;2305
06ÿ-ÿ19;41455;12848;2240
07ÿ-ÿ19;39723;12065;2180
08ÿ-ÿ19;38250;11207;2094
09ÿ-ÿ19;36867;10463;1983
10ÿ-ÿ19;35052;9690;1893
11ÿ-ÿ19;33097;8711;1791
12ÿ-ÿ19;31901;7993;1752
13ÿ-ÿ19;31387;7518;1674
14ÿ-ÿ19;30166;6906;1604
15ÿ-ÿ19;28477;6123;1560
16ÿ-ÿ19;27229;5697;1597
17ÿ-ÿ19;;;
18ÿ-ÿ19;;;
